Number of Methods,depthOfInheritanceTree,Number of Children ,Coupling between Object Classes,Response for a Class,Lack of Cohesion in Methods,Afferent Coupling ,Number of Public Methods,Efferent Couplings,Lack of Cohesion in Methods 3,Lines of Code,Data Access Metric,Measure of Agregation,Measure of Funcional Abstraction,Cohesion Among Methods,Inheritance Coupling,Coupling Between Methods,Average Method Complexity,Average CC,Max CC,Min CC,Class Complexity CKJM
18,0,0,13,98,53,0,11,13,0.7802,2812,0.9474,0,0,0.1912,0,0,154.1667,6.333333333,59,1,11.11111111
43,1,0,11,96,399,0,15,11,0.8661,4701,1,0,0,0.2116,0,0,107.9535,5.651162791,26,1,13.95348837
14,1,0,0,32,49,0,13,0,0.3558,499,1,0,0,0.4048,0,0,34.0714,5.071428571,23,1,14.28571429
14,1,0,5,57,0,0,2,5,0.7902,1440,1,0,0,0.3143,0,0,101.0714,8.357142857,44,1,14.28571429
28,0,0,17,142,114,0,15,17,0.8512,5187,0.9831,0,0,0.15,0,0,182.1429,7.107142857,23,1,25
3,1,0,1,19,3,0,2,1,1,232,1,0,0,0.5,0,0,75.3333,6,15,1,33.33333333
2,1,0,2,5,1,0,2,2,2,64,0,0,0,0.5,0,0,31,6.5,12,1,50
3,1,0,40,4,1,0,2,40,0.5,305,0,0,0,0.5,0,0,88.3333,13.33333333,38,1,33.33333333
2,1,0,6,20,0,0,2,6,0,145,1,0,0,0.625,0,0,69.5,5,5,5,0
2,1,0,3,22,1,0,2,3,2,407,0,0,0,0.5,0,0,202.5,12.5,24,1,50
5,0,0,20,45,8,0,2,20,0.75,260,1,0,0,0.5,0,0,50.8,5.4,12,1,40
3,0,0,19,27,1,0,1,19,0.5,136,1,0,0,0.75,0,0,44,5,13,1,33.33333333
2,0,0,14,22,1,0,1,14,2,125,0,0,0,0.75,0,0,61.5,6.5,12,1,50
3,0,0,18,33,1,0,1,18,0.5,201,1,0,0,0.75,0,0,65.6667,6.666666667,18,1,33.33333333
10,1,0,5,38,17,0,5,5,0.7677,419,1,0,0,0.3492,0,0,39.8,5.4,13,1,10
11,1,0,5,45,45,0,7,5,0.5,512,1,0,0,0.34,0,0,45.3636,5.545454545,19,1,18.18181818
3,1,0,0,5,3,0,3,0,1.5,155,0,0,0,0.3333,0,0,38.6667,7.666666667,11,1,66.66666667
6,1,0,4,62,3,0,6,4,0.2,1228,0,0,0,0.4444,0,0,197.1667,5.166666667,26,1,16.66666667
9,0,0,9,36,30,0,1,9,1.0417,458,1,0,0,0.4688,0,0,49.2222,6.111111111,29,1,11.11111111
3,1,0,13,43,1,0,2,13,0.5,243,1,0,0,0.5,0,0,79.3333,7.333333333,20,1,33.33333333
5,0,0,12,32,0,0,2,12,0.25,375,1,0,0,0.4375,0,0,73.8,5,13,1,20
5,1,0,10,40,0,0,3,10,0.6786,353,1,0,0,0.625,0,0,68.2,5.2,13,1,20
3,1,0,4,22,1,0,2,4,0.75,1211,1,0,0,0.75,0,0,401.3333,6.333333333,17,1,33.33333333
3,0,0,40,20,3,0,1,40,2,138,0,0,0,0.6667,0,0,45,5.333333333,14,1,33.33333333
2,1,0,2,19,1,0,2,2,2,97,0,0,0,0.5,0,0,36.5,5.5,10,1,0
4,1,0,5,26,4,0,3,5,1.3145,411,0.0189,0,0,0.4444,0,0,88.5,9.75,19,1,50
5,1,0,4,34,10,0,4,4,2,318,0,0,0,0.28,0,0,62.6,10.8,18,1,60
6,1,0,4,77,3,0,6,4,0.2,1642,0,0,0,0.4444,0,0,264.1667,6.833333333,36,1,16.66666667
5,1,0,7,20,10,0,5,7,2,182,0,0,0,0.3333,0,0,35.4,6.2,21,1,20
3,2,0,0,15,3,0,3,0,1.5,239,0,0,0.9375,0.5,0,0,78.3333,5.333333333,14,1,33.33333333
2,1,0,1,7,0,0,2,1,0.8571,102,0.5714,0,0,0.6,0,0,46.5,6,11,1,50
6,1,0,1,27,15,0,4,1,1,436,1,1,0,0.5833,0,0,71.5,5.833333333,10,1,0
3,1,0,5,24,0,0,2,5,1.2778,176,0.2222,0,0,0.6667,0,0,54.6667,5.333333333,14,1,33.33333333
5,5,0,4,43,0,0,5,4,0.625,286,1,0,0.9958,0.44,0,0,55.8,5.6,24,1,20
3,2,0,0,15,3,0,3,0,1.5,239,0,0,0.9375,0.5,0,0,78.3333,5.333333333,14,1,33.33333333
3,0,0,15,63,0,0,2,15,0.5,868,1,0,0,0.6667,0,0,287.6667,20.33333333,59,1,33.33333333
3,0,0,14,69,0,0,2,14,0.5,387,1,0,0,0.6667,0,0,127.3333,10.66666667,30,1,33.33333333
5,0,0,16,62,2,0,2,16,0.625,478,1,0,0,0.375,0,0,94.2,5.8,13,1,20
3,0,0,16,61,0,0,2,16,0.5,341,1,0,0,0.6667,0,0,112,9.333333333,26,1,33.33333333
4,0,0,14,64,0,0,2,14,0.5,400,1,0,0,0.5,0,0,98.5,8.25,26,1,25
4,0,0,15,67,0,0,2,15,0.5,381,1,0,0,0.5,0,0,93.75,7,22,1,25
2,1,0,2,11,0,0,2,2,1,168,0.5,0,0,0.625,0,0,78,5,9,1,0
3,0,0,16,72,0,0,2,16,0.5,391,1,0,0,0.6667,0,0,128.6667,10.66666667,30,1,33.33333333
3,0,0,13,55,0,0,2,13,0.5,304,1,0,0,0.6667,0,0,99.6667,10,28,1,33.33333333
15,1,0,36,117,47,0,11,36,0.8155,1632,0.6667,0,0,0.2321,0,0,107,7.2,37,1,13.33333333
8,6,0,18,121,6,0,3,18,0.7381,927,0.5,0,0.9903,0.3,0,0,114.125,5.5,26,1,12.5
8,6,0,17,124,6,0,3,17,0.7143,1057,0.5,0,0.9903,0.3,0,0,130.625,6.5,25,1,12.5
2,1,0,0,10,0,0,2,0,0,125,1,0,0,1,0,0,61,5.5,10,1,0
9,1,0,2,19,24,0,7,2,0.75,731,0.5,0,0,0.6667,0,0,80,10.22222222,37,1,33.33333333
12,1,0,6,61,42,0,3,6,0.7955,980,1,0,0,0.2917,0,0,80.3333,8.416666667,29,1,25
43,1,0,5,64,195,0,7,5,0.8246,6140,0.1333,0,0,0.3175,0,0,141.093,8.976744186,112,1,27.90697674
5,3,0,1,21,0,0,4,1,0.55,387,0.4,0,0.913,0.4,1,1,75.4,5.4,14,1,20
4,1,0,2,13,0,0,4,2,0.6471,246,0,0,0,0.3571,0,0,56.25,6.5,23,1,25
2,1,0,1,5,0,0,2,1,0.8333,544,0,0,0,0.75,0,0,232,34.5,68,1,50
28,1,0,9,111,170,0,2,9,0.8,3759,0.65,0,0,0.1717,0,0,132.5357,6.785714286,33,1,17.85714286
4,1,0,8,49,6,0,2,8,2,464,0,0,0,0.25,0,0,115,9.75,36,1,25
3,1,0,0,5,3,0,3,0,1.5,130,0,0,0,0.3333,0,0,37.6667,5.666666667,14,1,33.33333333
2,5,0,11,31,0,0,2,11,0.75,392,0.125,1,0.9985,0.6,1,1,191,5,9,1,0
