Number of Methods,depthOfInheritanceTree,Number of Children ,Coupling between Object Classes,Response for a Class,Lack of Cohesion in Methods,Afferent Coupling ,Number of Public Methods,Efferent Couplings,Lack of Cohesion in Methods 3,Lines of Code,Data Access Metric,Measure of Agregation,Measure of Funcional Abstraction,Cohesion Among Methods,Inheritance Coupling,Coupling Between Methods,Average Method Complexity,Average CC,Max CC,Min CC,Class Complexity CKJM,Flags,Class Complexity,Sum Complex,Average Complex,Number of Graphs,Mean Nodes,Sd Nodes,Sum Nodes,Min Nodes,Max Nodes,Mean Edges,Sd Edges,Sum Edges,Min Edges,Max Edges,Mean Radius,Sd Radius,Sum Radius,Min Radius,Max Radius,Mean Diameter,Sd Diameter,Sum Diameter,Min Diameter,Max Diameter,Mean CenterSize,Sd CenterSize,Sum CenterSize,Min CenterSize,Max CenterSize,Mean PeripherySize,Sd PeripherySize,Sum PeripherySize,Min PeripherySize,Max PeripherySize,Mean AvrShortestPath,Sd AvrShortestPath,Sum AvrShortestPath,Min AvrShortestPath,Max AvrShortestPath,Mean EigenLargestLap,Sd EigenLargestLap,Sum EigenLargestLap,Min EigenLargestLap,Max EigenLargestLap,Mean EigenSecondLargestLap,Sd EigenSecondLargestLap,Sum EigenSecondLargestLap,Min EigenSecondLargestLap,Max EigenSecondLargestLap,Mean AlgebraicConnectivity,Sd AlgebraicConnectivity,Sum AlgebraicConnectivity,Min AlgebraicConnectivity,Max AlgebraicConnectivity,Mean EigenSmallestNonZeroLap,Sd EigenSmallestNonZeroLap,Sum EigenSmallestNonZeroLap,Min EigenSmallestNonZeroLap,Max EigenSmallestNonZeroLap,Mean EigenGapLap,Sd EigenGapLap,Sum EigenGapLap,Min EigenGapLap,Max EigenGapLap,Mean EigenLargestAdj,Sd EigenLargestAdj,Sum EigenLargestAdj,Min EigenLargestAdj,Max EigenLargestAdj,Mean EigenSecondLargestAdj,Sd EigenSecondLargestAdj,Sum EigenSecondLargestAdj,Min EigenSecondLargestAdj,Max EigenSecondLargestAdj,Mean EigenSmallestAdj,Sd EigenSmallestAdj,Sum EigenSmallestAdj,Min EigenSmallestAdj,Max EigenSmallestAdj,Mean EigenSecondSmallestAdj,Sd EigenSecondSmallestAdj,Sum EigenSecondSmallestAdj,Min EigenSecondSmallestAdj,Max EigenSecondSmallestAdj,Mean EigenGapAdj,Sd EigenGapAdj,Sum EigenGapAdj,Min EigenGapAdj,Max EigenGapAdj,Mean EigenStdDevAdj,Sd EigenStdDevAdj,Sum EigenStdDevAdj,Min EigenStdDevAdj,Max EigenStdDevAdj,Mean Energy,Sd Energy,Sum Energy,Min Energy,Max Energy,Mean NodeMean,Sd NodeMean,Sum NodeMean,Min NodeMean,Max NodeMean,Mean NodeMedian,Sd NodeMedian,Sum NodeMedian,Min NodeMedian,Max NodeMedian,Mean NodeStDev,Sd NodeStDev,Sum NodeStDev,Min NodeStDev,Max NodeStDev,Mean MaxDegree,Sd MaxDegree,Sum MaxDegree,Min MaxDegree,Max MaxDegree,Mean MinDegree,Sd MinDegree,Sum MinDegree,Min MinDegree,Max MinDegree,Mean Density,Sd Density,Sum Density,Min Density,Max Density,Mean EdgeConnectivity,Sd EdgeConnectivity,Sum EdgeConnectivity,Min EdgeConnectivity,Max EdgeConnectivity,Mean AvrNodeConnectivity,Sd AvrNodeConnectivity,Sum AvrNodeConnectivity,Min AvrNodeConnectivity,Max AvrNodeConnectivity,Mean ClusteringCoef,Sd ClusteringCoef,Sum ClusteringCoef,Min ClusteringCoef,Max ClusteringCoef,Mean Transitivity,Sd Transitivity,Sum Transitivity,Min Transitivity,Max Transitivity
2,2,0,13,50,0,0,2,13,0,205,1,0,0.9444,0.6667,0,0,101,5,9,1,0,0,0.5,13,13,2,159,200.8183259,318,17,301,164,209.3036072,328,16,312,38.5,43.13351365,77,8,69,72.5,79.90306627,145,16,129,10,12.72792206,20,1,19,2,0,4,2,2,26.31988926,28.73666297,52.63977852,6,46.63977852,5.573473429,2.27338681,11.14694686,3.965946199,7.181000659,4.807639634,1.333172301,9.615279267,3.864944459,5.750334808,0.017226263,0.023797732,0.034452526,0.000398725,0.034053801,0.017226263,0.023797732,0.034452526,0.000398725,0.034053801,0.765833796,0.940214509,1.531667591,0.101001741,1.430665851,2.70043076,1.033528844,5.400861521,1.969615506,3.431246015,2.251488715,0.526233779,4.502977431,1.879385242,2.623592189,-2.252408795,0.399930105,-4.50481759,-2.535202084,-1.969615506,-2.155923289,0.391083857,-4.311846578,-2.432461337,-1.879385242,0.448942045,0.507295065,0.89788409,0.090230264,0.807653826,1.428217036,0.019803903,2.856434073,1.414213562,1.44222051,1.256479333,0.041598182,2.512958666,1.227064977,1.28589369,1.977721321,0.134871256,3.955442642,1.882352941,2.073089701,2,0,4,2,2,0.362674311,0.043230711,0.725348622,0.332105582,0.39324304,4,2.828427125,8,2,6,1,0,2,1,1,0.062278679,0.078302714,0.124557358,0.006910299,0.117647059,1,0,2,1,1,1.201173865,0.284502808,2.40234773,1,1.40234773,0.004595792,0.006499431,0.009191584,0,0.009191584,0.016759777,0.023701903,0.033519553,0,0.033519553
9,1,0,3,39,24,0,8,3,0.45,513,0.2,0,0,0.1667,0,0,55.4444,7.111111111,22,1,22.22222222,0,0.25,29,14.5,8,97.375,74.82157347,779,9,208,101.875,79.79158119,815,8,219,19.25,11.58508894,154,4,34,37,22.29670059,296,8,68,1.375,0.51754917,11,1,2,2.375,0.51754917,19,2,3,14.23369381,8.203724957,113.8695505,3.333333333,24.76219844,5.96480347,2.977415484,47.71842776,3.879385242,12.02800754,4.932890187,1.378913471,39.4631215,3.532088886,7.87697718,0.030050692,0.049312395,0.240405532,0.001216905,0.120614758,0.030050692,0.049312395,0.240405532,0.001216905,0.120614758,1.031913283,1.720294037,8.255306263,0.0000427,4.151030357,2.504787859,0.813674951,20.03830287,1.902113033,4.324541944,2.196252583,0.428892972,17.57002066,1.618033989,2.953863121,-2.331408201,0.429400283,-18.65126561,-3.023717495,-1.902113033,-2.168763885,0.381776804,-17.35011108,-2.762331233,-1.618033989,0.308535276,0.465489059,2.468282205,0.003812788,1.370678823,1.441792677,0.026481003,11.53434141,1.414213562,1.481063262,1.260004941,0.044878169,10.08003953,1.18083367,1.296621465,2.01015625,0.151555314,16.08125,1.777777778,2.179487179,2,0,16,2,2,0.497109848,0.187628037,3.976878787,0.346394452,0.926228422,4.375,3.29230705,35,2,11,1,0,8,1,1,0.06922346,0.088567074,0.553787682,0.010172798,0.222222222,1,0,8,1,1,1.120592984,0.201782868,8.964743875,1,1.599916388,0.004938811,0.013969068,0.03951049,0,0.03951049,0.012640449,0.03575259,0.101123596,0,0.101123596
3,1,0,0,12,1,0,3,0,1.25,253,0.5,0,0,0.3333,0,0,80.6667,28,82,1,33.33333333,0,0.333333333,29,29,3,129,211.3101985,387,7,373,137.3333333,227.4760061,412,6,400,12.66666667,16.74315781,38,3,32,25.33333333,33.48631561,76,6,64,1,0,3,1,1,2,0,6,2,2,10.79814927,14.08414101,32.39444781,2.666666667,27.06111447,5.601948755,3.117710539,16.80584626,3.801937736,9.201970792,5.212272071,3.403986405,15.63681621,3.246979604,9.142857005,0.132216985,0.114047368,0.396650956,0.000526428,0.198062264,0.132216985,0.114047368,0.396650956,0.000526428,0.198062264,0.389676684,0.286275866,1.169030051,0.059113787,0.554958132,2.272627627,0.735893936,6.81788288,1.847759065,3.12236475,1.974125212,0.969795425,5.922375636,1.414213562,3.093948511,-2.261289861,0.716256349,-6.783869584,-3.088351454,-1.847759065,-1.950749171,0.929306934,-5.852247513,-3.023820388,-1.414213562,0.298502415,0.233901489,0.895507245,0.028416239,0.433545503,1.431632758,0.030170932,4.294898275,1.414213562,1.46647115,1.198247443,0.082409275,3.59474233,1.150668426,1.293405477,1.857781182,0.248541441,5.573343547,1.714285714,2.144772118,2,0,6,2,2,0.578229282,0.156368241,1.734687847,0.487950036,0.758787774,4,3.464101615,12,2,8,1,0,3,1,1,0.192398029,0.161628497,0.577194088,0.005765516,0.285714286,1,0,3,1,1,1.026098571,0.045204051,3.078295713,1,1.078295713,0,0,0,0,0,0,0,0,0,0
2,1,0,14,15,1,0,1,14,2,112,0,0,0,0.5,0,0,55,5.5,10,1,0,0,0,0,0,2,79,101.8233765,158,7,151,82.5,108.1873375,165,6,159,12.5,13.43502884,25,3,22,25,26.87005769,50,6,44,1,0,2,1,1,2,0,4,2,2,8.623134658,8.423717817,17.24626932,2.666666667,14.57960265,7.463456555,5.178169573,14.92691311,3.801937736,11.12497537,4.03808263,1.118788628,8.076165259,3.246979604,4.829185655,0.100822582,0.137517677,0.201645165,0.0035829,0.198062264,0.100822582,0.137517677,0.201645165,0.0035829,0.198062264,3.425373926,4.059380945,6.850747851,0.554958132,6.295789719,2.599662828,1.063352499,5.199325655,1.847759065,3.35156659,1.829224644,0.586914301,3.658449289,1.414213562,2.244235727,-2.599662807,1.063352469,-5.199325614,-3.351566549,-1.847759065,-1.829224644,0.586914301,-3.658449289,-2.244235726,-1.414213562,0.770438183,0.476438198,1.540876366,0.433545503,1.107330864,1.43511777,0.029563014,2.87023554,1.414213562,1.456021978,1.217269065,0.094187526,2.434538129,1.150668426,1.283869703,1.91012299,0.276955731,3.820245979,1.714285714,2.105960265,2,0,4,2,2,0.595885603,0.152643942,1.191771206,0.487950036,0.703821169,6,5.656854249,12,2,10,1,0,2,1,1,0.14987701,0.192102917,0.299754021,0.014039735,0.285714286,1,0,2,1,1,1.291699779,0.412525784,2.583399559,1,1.583399559,0,0,0,0,0,0,0,0,0,0
2,1,0,4,12,1,0,2,4,2,74,0,0,0,0.75,0,0,36,5.5,10,1,0,0,0,0,0,2,59,73.53910524,118,7,111,62.5,79.90306627,125,6,119,12,12.72792206,24,3,21,23.5,24.74873734,47,6,41,2,1.414213562,4,1,3,2,0,4,2,2,9.298361998,9.37863348,18.596724,2.666666667,15.93005733,5.120279865,1.864417319,10.24055973,3.801937736,6.438621994,4.191142754,1.335248333,8.382285509,3.246979604,5.135305905,0.101381946,0.136726617,0.202763892,0.004701628,0.198062264,0.101381946,0.136726617,0.202763892,0.004701628,0.198062264,0.929137111,0.529168986,1.858274221,0.554958132,1.303316089,2.265621963,0.590947378,4.531243926,1.847759065,2.683484861,1.923130451,0.719717166,3.846260902,1.414213562,2.432047339,-2.265621945,0.590947352,-4.531243891,-2.683484826,-1.847759065,-1.921536216,0.717462577,-3.843072431,-2.428858869,-1.414213562,0.342491512,0.128769788,0.684983025,0.251437522,0.433545503,1.442572002,0.04010489,2.885144004,1.414213562,1.470930441,1.225433832,0.105734251,2.450867665,1.150668426,1.300199238,1.929214929,0.303955811,3.858429858,1.714285714,2.144144144,2,0,4,2,2,0.476029546,0.016858119,0.952059092,0.464109056,0.487950036,3.5,2.121320344,7,2,5,1,0,2,1,1,0.152603253,0.188247428,0.305206505,0.019492219,0.285714286,1,0,2,1,1,1.15970516,0.225857203,2.319410319,1,1.319410319,0,0,0,0,0,0,0,0,0,0
2,1,0,4,13,1,0,2,4,2,74,0,0,0,0.75,0,0,36,5.5,10,1,0,0,0,0,0,2,59,73.53910524,118,7,111,62.5,79.90306627,125,6,119,12,12.72792206,24,3,21,23.5,24.74873734,47,6,41,2,1.414213562,4,1,3,2,0,4,2,2,9.298361998,9.37863348,18.596724,2.666666667,15.93005733,5.120279865,1.864417319,10.24055973,3.801937736,6.438621994,4.191142754,1.335248333,8.382285509,3.246979604,5.135305905,0.101381946,0.136726617,0.202763892,0.004701628,0.198062264,0.101381946,0.136726617,0.202763892,0.004701628,0.198062264,0.929137111,0.529168986,1.858274221,0.554958132,1.303316089,2.265621963,0.590947378,4.531243926,1.847759065,2.683484861,1.923130451,0.719717166,3.846260902,1.414213562,2.432047339,-2.265621945,0.590947352,-4.531243891,-2.683484826,-1.847759065,-1.921536216,0.717462577,-3.843072431,-2.428858869,-1.414213562,0.342491512,0.128769788,0.684983025,0.251437522,0.433545503,1.442572002,0.04010489,2.885144004,1.414213562,1.470930441,1.225433832,0.105734251,2.450867665,1.150668426,1.300199238,1.929214929,0.303955811,3.858429858,1.714285714,2.144144144,2,0,4,2,2,0.476029546,0.016858119,0.952059092,0.464109056,0.487950036,3.5,2.121320344,7,2,5,1,0,2,1,1,0.152603253,0.188247428,0.305206505,0.019492219,0.285714286,1,0,2,1,1,1.15970516,0.225857203,2.319410319,1,1.319410319,0,0,0,0,0,0,0,0,0,0
2,0,0,10,11,1,0,2,10,2,85,0,0,0,0.75,0,0,41.5,5.5,10,1,0,0,0,0,0,2,66,83.43860018,132,7,125,69,89.09545443,138,6,132,11.5,12.02081528,23,3,20,23,24.04163056,46,6,40,1,0,2,1,1,2.5,0.707106781,5,2,3,9.516301075,9.686845878,19.03260215,2.666666667,16.36593548,4.745174097,1.333937654,9.490348194,3.801937736,5.688410458,4.123176503,1.239129539,8.246353007,3.246979604,4.999373403,0.101049334,0.137197002,0.202098668,0.004036403,0.198062264,0.101049334,0.137197002,0.202098668,0.004036403,0.198062264,0.621997593,0.094808115,1.243995187,0.554958132,0.689037055,2.195601931,0.491924098,4.391203862,1.847759065,2.543444797,1.861047508,0.631918627,3.722095017,1.414213562,2.307881454,-2.148176637,0.424854605,-4.296353275,-2.44859421,-1.847759065,-1.861043898,0.631913521,-3.722087796,-2.307874234,-1.414213562,0.334554423,0.139994528,0.669108845,0.235563342,0.433545503,1.436666967,0.031753909,2.873333934,1.414213562,1.459120371,1.223751356,0.10335487,2.447502712,1.150668426,1.296834286,1.913142857,0.281226468,3.826285714,1.714285714,2.112,2,0,4,2,2,0.446936957,0.058001254,0.893873913,0.405923877,0.487950036,3,1.414213562,6,2,4,1,0,2,1,1,0.151373272,0.189986884,0.302746544,0.017032258,0.285714286,1,0,2,1,1,1.416,0.588312842,2.832,1,1.832,0,0,0,0,0,0,0,0,0,0
33,0,0,18,133,362,0,9,18,0.4063,3698,1,0,0,0.2803,0,0,111.0303,6.090909091,33,1,24.24242424,10.05586592,0.303030303,2022,202.2,33,163.2727273,205.6795555,5388,5,827,223.969697,333.5272182,7391,4,1355,30.96969697,21.79949089,1022,2,78,61.39393939,43.49780123,2026,4,155,1.606060606,0.609271796,53,1,3,2.363636364,1.112940413,78,2,8,18.53123347,11.55465517,611.5307047,2,43.41393626,37.28526137,69.03931373,1230.413625,3.618033989,279.000039,26.92196251,54.30913162,888.4247628,2.618033989,219.0000634,0.03688324,0.094371156,1.217146906,0.000291412,0.381966011,0.03688324,0.094371156,1.217146906,0.000291412,0.381966011,10.36329886,22.13228213,341.9888624,0.002277581,82.99914771,4.631094822,4.764440803,152.8261291,1.732050808,17.78066012,3.811892355,4.113179466,125.7924477,1,15.81738192,-4.127327748,3.924135802,-136.2018157,-15.64436994,-1.732050808,-3.446356291,3.365076786,-113.7297576,-13.79020611,-1,0.819202467,1.424561472,27.0336814,0.002238156,4.96434252,1.504192036,0.143882115,49.6383372,1.414213562,1.839374254,1.275811727,0.06854856,42.101787,1.092820323,1.377006469,2.215430585,0.503787182,73.1092093,1.6,3.376068376,2.151515152,0.364109541,71,2,3,2.085817298,3.474645437,68.83197083,0.131865857,12.16271786,35.6969697,69.32689091,1178,2,278,1,0,33,1,1,0.067237825,0.102970201,2.218848239,0.003967197,0.4,1,0,33,1,1,1.18371657,0.21054231,39.0626468,1,1.702198133,0.077753761,0.143041737,2.565874113,0,0.425626684,0.015513062,0.034854879,0.511931038,0,0.143076923
11,1,0,9,36,1,0,4,9,0.7,1066,1,0,0,0.2841,0,0,94.1818,5,16,1,18.18181818,0,0.454545455,114,22.8,11,142.0909091,131.4644093,1563,5,418,152.2727273,135.772671,1675,4,436,30.81818182,23.53218299,339,2,79,61,47.29693436,671,4,157,1.818181818,1.470930441,20,1,6,2.272727273,0.646669791,25,2,4,21.18124971,15.69965543,232.9937468,2,50.32542919,10.89643844,11.95540917,119.8608228,3.618033989,39.00289222,4.766142172,1.067636615,52.42756389,2.618033989,6.331063406,0.045450315,0.1135835,0.499953467,0.000261073,0.381966011,0.045450315,0.1135835,0.499953467,0.000261073,0.381966011,6.130296264,11.61717625,67.4332589,0.00486338,33.46170919,3.260496319,1.844708562,35.86545951,1.732050808,7.206926359,2.100626603,0.417986776,23.10689263,1,2.564100001,-2.804073327,1.134360262,-30.84480659,-5.319451267,-1.732050808,-2.100957099,0.418226421,-23.11052809,-2.564100001,-1,1.159869717,1.760283767,12.75856688,0.004741116,4.884484116,1.488081657,0.126879267,16.36889823,1.414213562,1.834626299,1.280989593,0.081430425,14.09088553,1.092820323,1.435976038,2.16240455,0.434690788,23.78645005,1.6,3.285714286,2.090909091,0.301511345,23,2,3,0.96205802,1.311122412,10.58263822,0.159084963,4.104047463,9.272727273,12.27265993,102,2,38,1,0,11,1,1,0.06661733,0.115510255,0.732790628,0.005002696,0.4,1,0,11,1,1,1.2781232,0.269913107,14.0593552,1,1.891986063,0.059009509,0.132695355,0.649104601,0,0.430154821,0.038987867,0.067684217,0.428866541,0,0.161033797
17,0,0,22,98,0,0,4,22,0.7862,2943,1,0,0,0.25,0,0,171,5.058823529,22,1,17.64705882,0.975609756,0.470588235,212,26.5,17,266.8235294,205.2660576,4536,5,730,280.2941176,219.4287369,4765,4,787,45.05882353,29.78353276,766,2,109,89.52941176,59.40445864,1522,4,217,1.705882353,0.771743633,29,1,4,2.352941176,0.606339063,40,2,4,32.31193565,20.5084938,549.3029061,2,64.65785978,6.173867524,1.933725898,104.9557479,3.618033989,12.02800754,5.481341262,1.377616723,93.18280145,2.618033989,8.076893536,0.026446446,0.091940781,0.449589581,0.000117383,0.381966011,0.026446446,0.091940781,0.449589581,0.000117383,0.381966011,0.692526262,1.198299303,11.77294645,0.000887765,4.916989502,2.650372513,0.635618254,45.05633272,1.732050808,4.324542096,2.460631492,0.623630737,41.83073536,1,3.615635034,-2.426289044,0.266323469,-41.24691374,-2.795138596,-1.732050808,-2.257585812,0.354631479,-38.3789588,-2.67341313,-1,0.189741021,0.26584288,3.225597358,0.001356888,0.92768681,1.445390195,0.011817479,24.57163331,1.414213562,1.469395143,1.275237356,0.048053501,21.67903506,1.092820323,1.304595515,2.051534283,0.122448729,34.87608282,1.6,2.156164384,2,0,34,2,2,0.410541071,0.089348948,6.979198206,0.298966716,0.583009529,4.705882353,2.143732314,80,2,11,1,0,17,1,1,0.03774997,0.094733221,0.641749487,0.002957701,0.4,1,0,17,1,1,1.251385612,0.180992388,21.2735554,1,1.742850606,0.003207524,0.007288384,0.054527915,0,0.021404635,0.00998601,0.022666661,0.169762168,0,0.067826087
5,0,0,9,35,4,0,5,9,0.625,266,1,0,0,0.5,0,0,51.4,5.2,22,1,20,0,0.2,318,318,5,76.6,147.4476178,383,5,340,139,289.115029,695,4,656,7.4,6.228964601,37,2,16,14.2,12.59761882,71,4,32,1.6,0.547722558,8,1,2,2,0,10,2,2,3.85623113,2.578799472,19.28115565,2,8.333333333,63.43616001,133.3613467,317.1808,3.618033989,302.0000664,4.269827731,2.351709802,21.34913866,2.618033989,8.385039452,0.164917096,0.162176537,0.824585482,0.005319066,0.381966011,0.164917096,0.162176537,0.824585482,0.005319066,0.381966011,59.16633228,131.0612797,295.8316614,0.05103807,293.615027,5.167972515,7.421143216,25.83986257,1.732050808,18.44225939,1.708269754,0.715054011,8.541348769,1,2.825113957,-4.746619646,6.479055541,-23.73309823,-16.33549504,-1.732050808,-1.707763287,0.71406541,-8.538816433,-2.822581621,-1,3.459702761,6.800996655,17.29851381,0.04706308,15.61714543,1.524827658,0.247340636,7.624138288,1.414213562,1.967284039,1.214357872,0.107725853,6.071789359,1.092820323,1.380792421,2.158431373,0.957898477,10.79215686,1.6,3.858823529,2.2,0.447213595,11,2,3,3.596588296,7.031503322,17.98294148,0.282329851,16.17358124,61.8,133.7168651,309,2,301,1,0,5,1,1,0.215609925,0.164504504,1.078049627,0.01138296,0.4,1,0,5,1,1,1.183359361,0.410003996,5.916796807,1,1.916796807,0.113261833,0.253261158,0.566309166,0,0.566309166,0.004115636,0.009202842,0.02057818,0,0.02057818
26,0,0,18,113,205,0,9,18,0.32,2272,1,0,0,0.2527,0,0,86.3462,5.230769231,19,1,11.53846154,11.96581197,0.192307692,1076,215.2,26,130.7692308,150.5138685,3400,5,562,172.6923077,242.0307037,4490,4,905,26.46153846,16.7480883,688,2,60,52.53846154,33.42481805,1366,4,120,1.423076923,0.577794214,37,1,3,2.384615385,0.637302005,62,2,4,16.33908908,8.665399673,424.816316,2,33,27.10898174,49.56816189,704.8335253,3.618033989,165.0001122,19.21380217,39.35428102,499.5588564,2.618033989,162.0001165,0.042807366,0.105439172,1.112991522,0.000463016,0.381966011,0.042807366,0.105439172,1.112991522,0.000463016,0.381966011,7.895179572,18.14330602,205.2746689,0.001302247,62.98785577,4.04586149,4.006152669,105.1923987,1.732050808,13.84868986,3.418859342,3.375718053,88.8903429,1,13.80994843,-3.644172449,3.205552478,-94.74848366,-11.84900421,-1.732050808,-3.034979283,2.648839744,-78.90946136,-11.67388372,-1,0.627002148,1.214142317,16.30205584,0.003019732,5.022344578,1.489668934,0.12850483,38.73139227,1.414213562,1.810666891,1.271131073,0.070117198,33.0494079,1.092820323,1.378451554,2.163366661,0.45875444,56.24753319,1.6,3.26984127,2.115384615,0.325812594,55,2,3,1.630002486,2.84757456,42.38006463,0.142118858,9.548510217,25.5,49.85679492,663,2,164,1,0,26,1,1,0.071625228,0.112253784,1.86225592,0.005740892,0.4,1,0,26,1,1,1.189254052,0.191260963,30.92060534,1,1.662156357,0.058998426,0.128037177,1.533959083,0,0.395600423,0.011247037,0.024982495,0.292422962,0,0.083832335
21,1,0,5,41,154,0,18,5,0.6,1759,1,0,0,0.2,0,0,82.7143,5,14,1,9.523809524,0,0.1,23,11.5,20,123.3,109.712591,2466,5,485,125.8,112.0655823,2516,4,490,32.15,39.68862359,643,2,190,63.75,79.2217906,1275,4,379,1.4,0.50262469,28,1,2,2.7,0.97872097,54,2,6,23.85507348,28.74787552,477.1014697,2,138.7128823,4.647482699,0.511040769,92.94965398,3.618033989,5.707164656,4.368095165,0.571908209,87.36190329,2.618033989,5.004279721,0.035476552,0.092805749,0.709531045,4.65547E-05,0.381966011,0.035476552,0.092805749,0.709531045,4.65547E-05,0.381966011,0.279387534,0.358432514,5.587750682,1.96519E-08,1.111610297,2.18854966,0.188268495,43.77099319,1.732050808,2.50081338,2.054962334,0.318630628,41.09924668,1,2.328914773,-2.186096924,0.186876381,-43.72193848,-2.500812854,-1.732050808,-2.052146677,0.316673338,-41.04293355,-2.328915407,-1,0.133587325,0.189287694,2.671746508,9.76929E-06,0.732050808,1.431090182,0.011422213,28.62180365,1.414213562,1.449137675,1.258115359,0.0504781,25.16230719,1.092820323,1.291944487,1.98842782,0.125187185,39.7685564,1.6,2.089552239,2,0,40,2,2,0.333595042,0.09461469,6.67190085,0.168818295,0.547722558,2.95,0.510417786,59,2,4,1,0,20,1,1,0.059715233,0.102402346,1.194304666,0.004174832,0.4,1,0,20,1,1,1.210110649,0.180679567,24.20221298,1,1.66959707,0,0,0,0,0,0,0,0,0,0
22,1,0,2,38,229,0,21,2,1.0095,2548,1,0,0,0.2571,0,0,114.1364,5.727272727,23,1,13.63636364,0,0.047619048,18,18,21,156.2380952,145.1547122,3281,5,406,158.7142857,148.8711332,3333,4,414,43.42857143,34.53631629,912,2,110,84.80952381,67.0921896,1781,4,219,3.095238095,4.80525506,65,1,22,2.333333333,0.483045892,49,2,3,30.67241299,23.82697921,644.1206728,2,74.0413103,4.730820217,0.54486928,99.34722455,3.618033989,5.713107581,4.430186181,0.675249973,93.03390981,2.618033989,5.703922582,0.034435988,0.090416861,0.723155742,0.000160411,0.381966011,0.034435988,0.090416861,0.723155742,0.000160411,0.381966011,0.300634035,0.329642776,6.313314745,0.000491433,1,2.213139572,0.198008407,46.47593102,1.732050808,2.528453372,2.06633811,0.335547766,43.39310031,1,2.522056946,-2.205528927,0.193695794,-46.31610747,-2.528453372,-1.732050808,-2.059047397,0.32977789,-43.23999535,-2.474847544,-1,0.146801462,0.183388641,3.082830712,0.00555188,0.732050808,1.427764387,0.011027706,29.98305213,1.414213562,1.445997611,1.256097072,0.047429164,26.3780385,1.092820323,1.287612785,1.976136166,0.11584327,41.49885948,1.6,2.081218274,2,0,42,2,2,0.330032911,0.109102849,6.930691126,0.165488796,0.547722558,2.952380952,0.589592272,62,2,4,1,0,21,1,1,0.062490799,0.10025615,1.31230677,0.005035577,0.4,1,0,21,1,1,1.131758387,0.180217619,23.76692613,1,1.583850591,0,0,0,0,0,0,0,0,0,0
11,1,0,4,24,0,0,6,4,0.73,4100,1,0,0,0.3939,0,0,370.8182,14.09090909,74,1,45.45454545,1.351351351,0.4,71,17.75,10,239.3,295.5402022,2393,5,762,245.5,304.0892596,2455,4,783,34.3,33.58918477,343,2,101,61.9,60.66199616,619,4,169,10.6,18.79834508,106,1,57,2.6,0.843274043,26,2,4,25.28810103,25.65173103,252.8810103,2,74.8761866,4.454765182,0.707495569,44.54765182,3.618033989,5.485676926,3.995411942,1.009860869,39.95411942,2.618033989,5.000975533,0.122646282,0.180116652,1.226462818,0.000148767,0.381966011,0.122646282,0.180116652,1.226462818,0.000148767,0.381966011,0.459353239,0.455437042,4.593532394,0.00173406,1,2.091316538,0.280807994,20.91316538,1.732050808,2.391118466,1.812045908,0.580649653,18.12045908,1,2.315418598,-2.091289316,0.280777381,-20.91289316,-2.390902207,-1.732050808,-1.810520004,0.579385498,-18.10520004,-2.315418424,-1,0.27927063,0.319046467,2.792706298,0.006267439,0.732050808,1.427029345,0.012578748,14.27029345,1.414213562,1.444894217,1.219659821,0.090164809,12.19659821,1.092820323,1.292512733,1.893688309,0.214480011,18.93688309,1.6,2.07860262,2,0,20,2,2,0.361087203,0.138759389,3.61087203,0.217183782,0.547722558,2.7,0.674948558,27,2,4,1,0,10,1,1,0.142866846,0.184006878,1.428668465,0.002700549,0.4,1,0,10,1,1,1.317459638,0.300557249,13.17459638,1,1.796041308,0,0,0,0,0,0,0,0,0,0
7,1,0,4,19,0,0,7,4,0.5333,611,1,0,0,0.6429,0,0,85.5714,5.714285714,11,1,14.28571429,0,0.142857143,11,11,7,123.5714286,101.9033155,865,5,270,127.1428571,105.5247658,890,4,279,21.57142857,13.04935685,151,2,36,42.71428571,26.10053822,299,4,72,1.571428571,0.786795792,11,1,3,2.285714286,0.487950036,16,2,3,16.19741663,10.41754915,113.3819164,2,30.80462619,4.675859185,0.546303883,32.7310143,3.618033989,5.333604184,4.327875637,0.761555159,30.29512946,2.618033989,4.822706074,0.063491941,0.141358198,0.444443585,0.000854011,0.381966011,0.063491941,0.141358198,0.444443585,0.000854011,0.381966011,0.347983548,0.387697872,2.435884839,0.037740867,1,2.17855612,0.206601159,15.24989284,1.732050808,2.314815893,2.012231042,0.449466784,14.08561729,1,2.263900468,-2.17772552,0.206425573,-15.24407864,-2.314815409,-1.732050808,-2.006400287,0.445876579,-14.04480201,-2.219571124,-1,0.166325078,0.252337481,1.164275545,0.019906629,0.732050808,1.437270273,0.010562637,10.06089191,1.414213562,1.445997611,1.254214613,0.071529804,8.779502292,1.092820323,1.285744221,1.987187097,0.172341444,13.91030968,1.6,2.06741573,2,0,14,2,2,0.365421171,0.10113449,2.557948198,0.270299216,0.547722558,3,0.577350269,21,2,4,1,0,7,1,1,0.078654371,0.143258813,0.550580594,0.007682776,0.4,1,0,7,1,1,1.427169867,0.258609989,9.990189072,1,1.705975915,0,0,0,0,0,0,0,0,0,0
