depthOfInheritanceTree,Coupling between Object Classes,Response for a Class,Lack of Cohesion in Methods,Afferent Coupling ,Efferent Couplings,Lack of Cohesion in Methods 3,Data Access Metric,Cohesion Among Methods,Inheritance Coupling,Coupling Between Methods,Average Method Complexity,Average CC,Max CC,Min CC
3,0,8,6,0,0,2,0,0.6667,0,0,4,1,1,1
3,0,4,1,0,0,2,0,0.8333,0,0,4.5,1,1,1
1,0,3,1,0,0,2,0,0.75,0,0,2.5,1,1,1
3,0,4,1,0,0,2,0,0.8333,0,0,4.5,1,1,1
0,3,8,0,0,3,0,1,0.625,0,0,5,1,1,1
1,11,21,28,0,11,1.1429,0,0.225,0,0,15.25,1.75,4,1
0,4,9,0,0,4,0,1,0.625,0,0,5.5,1,1,1
0,3,8,0,0,3,0,1,0.625,0,0,5,1,1,1
3,0,8,6,0,0,2,0,0.6667,0,0,4,1,1,1
3,0,4,1,0,0,2,0,0.8333,0,0,4.5,1,1,1
3,0,4,1,0,0,2,0,0.8333,0,0,4.5,1,1,1
0,1,2,0,0,1,2,0,1,0,0,4,1,1,1
0,1,6,2,0,1,0.6667,0,0.4375,0,0,5.25,1,1,1
3,0,8,6,0,0,2,0,0.6667,0,0,4,1,1,1
3,0,4,1,0,0,2,0,0.8333,0,0,4.5,1,1,1
3,0,2,0,0,0,2,0,1,0,0,4,1,1,1
1,1,5,6,0,1,2,0,0.8333,0,0,3.25,1,1,1
3,0,4,1,0,0,2,0,0.8333,0,0,4.5,1,1,1
4,0,4,1,0,0,2,0,0.8333,0,0,4.5,1,1,1
0,2,2,0,0,2,2,0,1,0,0,3,1,1,1
1,6,20,56,0,6,0.6806,1,0.2024,0,0,9.3846,1.307692308,3,1
1,1,2,0,0,1,2,0,1,0,0,3,1,1,1
3,0,4,1,0,0,2,0,0.8333,0,0,4.5,1,1,1
1,16,28,26,0,16,0.8571,1,0.1429,0,0,12.5,1.625,5,1
1,3,7,15,0,3,2,0,0.381,0,0,1.5,1,1,1
0,2,2,0,0,2,2,0,1,0,0,5,1,1,1
3,1,8,1,0,1,2,0,0.875,0,0,14.5,1,1,1
3,0,4,1,0,0,2,0,0.8333,0,0,4.5,1,1,1
3,0,4,1,0,0,2,0,0.8333,0,0,4.5,1,1,1
3,0,4,1,0,0,2,0,0.8333,0,0,4.5,1,1,1
3,0,4,1,0,0,2,0,0.6667,0,0,4,1,1,1
1,1,4,1,0,1,2,0,0.5,0,0,3.5,1,1,1
1,4,9,0,0,4,0.5556,1,0.5,0,0,12.75,1,1,1
1,18,215,4456,0,18,0.4903,1,0.1722,0,0,18.4586,1.684210526,12,1
1,29,46,105,0,29,2,0,0.0667,0,0,17.9333,2.666666667,25,1
1,59,255,1842,0,59,0.9198,0.875,0.0821,0,0,57.5441,2.220588235,20,1
1,75,204,2362,0,75,0.9211,1,0.0789,0,0,15.7922,1.454545455,12,1
1,4,25,70,0,4,0.9167,1,0.3167,0,0,4.9231,1.230769231,3,1
0,15,68,193,0,15,0.8968,1,0.1746,0,0,19.4091,2.045454545,8,1
1,13,59,9,0,13,0.7529,0.6,0.3333,0,0,20.7778,2.166666667,11,1
1,15,73,54,0,15,0.925,1,0.2361,0,0,31.6154,2,12,1
1,4,13,0,0,4,0.1667,1,0.6667,0,0,14.25,1.75,2,1
1,8,44,20,0,8,0.6364,1,0.4167,0,0,22.1667,2,5,1
1,11,24,0,0,11,0.5455,1,0.2222,0,0,6.1667,1.166666667,2,1
1,3,26,6,0,3,2,0,0.3125,0,0,42.5,1,1,1
1,34,90,385,0,34,0.4778,1,0.1379,0,0,26.9333,1.3,5,1
1,4,11,4,0,4,0.5,1,0.5333,0,0,11,1,1,1
1,35,72,54,0,35,0.9205,1,0.2098,0,0,53,1.75,4,1
1,5,11,4,0,5,0.7619,1,0.3333,0,0,7.75,1,1,1
1,18,51,5,0,18,0.9385,1,0.3,0,0,53,4,18,1
4,0,8,6,0,0,2,0,0.6667,0,0,4,1,1,1
1,5,8,0,0,5,0,1,0.5556,0,0,11.6667,2.333333333,5,1
1,28,106,510,0,28,0.9592,1,0.1273,0,0,17.9444,1.583333333,6,1
1,14,49,0,0,14,0.4375,1,0.18,0,0,7.4,1.36,6,1
1,18,21,0,0,18,0,1,0.3143,0,0,20.4,1,1,1
1,25,74,14,0,25,0.6071,1,0.2857,0,0,103.75,8.5,57,1
1,7,23,0,0,7,0.5,1,0.4167,0,0,9.6667,1.916666667,3,1
1,19,53,138,0,19,0.8852,1,0.1571,0,0,11,1.25,3,1
0,71,340,0,0,71,0.9462,1,0.0589,0,0,18.0429,1.885714286,15,1
1,36,142,1009,0,36,0.8232,1,0.0998,0,0,21.4364,1.545454545,6,1
1,5,30,0,0,5,0.5,1,0.5357,0,0,4.4286,1,1,1
1,5,23,0,0,5,0.3636,1,0.3333,0,0,8.5833,1.833333333,3,1
1,6,64,0,0,6,0.5,1,0.2833,0,0,5.5,1.1,2,1
0,16,46,16,0,16,0.881,1,0.25,0,0,59,1,1,1
1,12,21,0,0,12,0.1429,1,0.2679,0,0,12.875,1.625,6,1
1,38,100,156,0,38,0.8158,1,0.1571,0,0,37.5,1.1,2,1
0,11,22,0,0,11,0.5,1,0.25,0,0,11,1.428571429,3,1
1,5,23,9,0,5,0.3333,1,0.4048,0,0,46.5714,1,1,1
1,2,8,0,0,2,0,1,0.625,0,0,4.5,1,1,1
1,6,11,0,0,6,0.375,1,0.4667,0,0,6,1,1,1
1,14,59,0,0,14,0,1,0.3646,0,0,10.25,1.25,2,1
1,3,31,0,0,3,0.5333,1,0.2604,0,0,8,1.5,7,1
1,13,81,49,0,13,0.7,1,0.1556,0,0,59.5455,4.727272727,16,1
1,4,28,11,0,4,0.7222,1,0.2286,0,0,19.8571,2,4,1
1,13,71,380,0,13,0.6473,0.7143,0.2244,0,0,18.0606,1.96969697,8,1
1,14,31,32,0,14,0.7955,1,0.3056,0,0,15.1667,1.583333333,5,1
1,3,17,56,0,3,0.8542,1,0.2769,0,0,4.5385,1,1,1
1,32,70,87,0,32,0.8531,0.9231,0.1338,0,0,22.7391,2,7,1
1,26,87,200,0,26,0.8899,0.9412,0.1082,0,0,20.1875,1.75,6,1
1,29,112,414,0,29,0.9161,0.9714,0.1042,0,0,41.0606,2.212121212,13,1
1,6,29,20,0,6,0.8611,0.8889,0.3333,0,0,28.8889,1.111111111,2,1
1,7,10,1,0,7,2,0,0.75,0,0,34.5,1.5,2,1
1,6,16,0,0,6,0,1,0.5,0,0,10.75,1.5,3,1
1,5,39,0,0,5,0.2333,1,0.2188,0,0,14.8125,1.625,3,1
1,27,49,65,0,27,0.8154,1,0.1753,0,0,15,1.214285714,2,1
1,8,19,0,0,8,0.125,1,0.3333,0,0,8,1.333333333,4,1
1,8,7,0,0,8,0,1,0.6667,0,0,17,1.5,2,1
1,14,24,5,0,14,0.8,1,0.2545,0,0,7.5455,1.090909091,2,1
1,38,44,19,0,38,0.8333,1,0.2468,0,0,28.4286,1.142857143,2,1
1,8,18,1,0,8,0.1667,1,0.4,0,0,10.5714,1.285714286,2,1
1,11,27,0,0,11,0.3889,1,0.32,0,0,10.3,1.3,2,1
0,6,18,15,0,6,0.4444,1,0.4,0,0,12.8,1.6,3,1
1,2,2,0,0,2,2,0,1,0,0,6,1,1,1
1,2,2,0,0,2,2,0,1,0,0,6,1,1,1
1,7,12,11,0,7,0.2,1,0.3611,0,0,8.8333,1,1,1
1,36,226,4820,0,36,0.9482,1,0.0954,1,1,7.424,1.28,8,1
0,11,30,23,0,11,0.7778,1,0.3,0,0,11.4,1.1,2,1
0,26,122,0,0,26,0.7852,1,0.1141,0,0,6.7846,1.246153846,6,1
1,41,115,143,0,41,0.8581,1,0.1307,0,0,15.0476,1.5,4,1
1,3,27,0,0,3,0.5,1,0.4103,0,0,4.6923,1,1,1
1,6,50,0,0,6,0.6818,1,0.287,0,0,6.3478,1,1,1
1,7,23,0,0,7,0.5,1,0.6,0,0,32,1.2,2,1
1,5,23,3,0,5,0.575,1,0.303,0,0,10.7273,1,1,1
1,48,165,962,0,48,0.9225,0.7778,0.11,0,0,29.8571,1.448979592,8,1
0,12,57,0,0,12,0.4792,1,0.2949,0,0,34.3077,1.307692308,3,1
0,6,10,10,0,6,2,0,0.4333,0,0,7,1,1,1
0,6,9,6,0,6,2,0,0.5,0,0,8,1,1,1
0,28,92,18,0,28,0.5556,1,0.2857,0,0,41.7692,1.076923077,2,1
1,17,94,278,0,17,0.852,1,0.1262,0,0,18.4828,1.413793103,8,1
1,4,19,16,0,4,0.5,1,0.3889,0,0,6,1.111111111,2,1
1,8,22,0,0,8,0,1,0.4375,0,0,23.125,2.375,8,1
1,3,8,0,0,3,0.3333,1,0.4375,0,0,6,1,1,1
0,8,25,21,0,8,2,0,0.5238,0,0,10.1429,1.428571429,3,1
0,2,13,21,0,2,2,0,0.5238,0,0,3.4286,1,1,1
0,3,12,21,0,3,2,0,0.5238,0,0,3.2857,1,1,1
0,3,12,21,0,3,2,0,0.5238,0,0,3.2857,1,1,1
0,2,13,19,0,2,0.8333,1,0.5714,0,0,4.2857,1,1,1
0,2,13,21,0,2,2,0,0.5238,0,0,3.4286,1,1,1
0,2,13,21,0,2,2,0,0.5238,0,0,3.4286,1,1,1
0,2,13,21,0,2,2,0,0.5238,0,0,3.4286,1,1,1
0,2,13,21,0,2,2,0,0.5238,0,0,3.4286,1,1,1
1,15,24,7,0,15,0.5714,1,0.4,0,0,19.4286,1,1,1
1,1,4,0,0,1,0.5,1,0.5556,0,0,5,1,1,1
0,32,112,0,0,32,0.76,1,0.1522,0,0,11.2174,1.260869565,5,1
1,33,86,205,0,33,0.9262,1,0.2145,0,0,24.3846,1.346153846,4,1
0,21,61,134,0,21,0.7833,1,0.1818,0,0,19.28,1.52,3,1
1,2,18,0,0,2,0,1,0.5556,0,0,4.2222,1,1,1
1,20,94,0,0,20,0.6959,1,0.2061,1,1,11.7895,1.210526316,3,1
1,8,14,0,0,8,0,1,0.5833,0,0,9.3333,1.666666667,3,1
1,10,23,2,0,10,0.7188,1,0.2889,0,0,10.2222,1,1,1
0,13,46,0,0,13,0.3333,1,0.2625,0,0,27.2,1.7,3,1
1,6,36,0,0,6,0.6667,1,0.25,0,0,7.3125,1.0625,2,1
1,19,83,59,0,19,0.746,1,0.2417,0,0,42.2667,1.2,3,1
1,4,33,202,0,4,0.8696,1,0.2708,0,0,10.4167,1.333333333,3,1
1,2,17,54,0,2,0.7955,1,0.4375,0,0,9.9167,1.25,3,1
1,2,7,7,0,2,0.8,1,0.4167,0,0,4.6667,1,1,1
1,36,109,191,0,36,0.8036,1,0.0928,0,0,30.0256,2.051282051,12,1
1,4,22,20,0,4,0.3125,1,0.3556,0,0,12.4444,1.111111111,2,1
0,2,8,3,0,2,2,0,0.6667,0,0,6.6667,1,1,1
0,8,40,0,0,8,0.5625,0.2,0.2889,0,0,39.5556,3,6,1
0,2,6,3,0,2,2,0,0.6667,0,0,5.3333,1,1,1
0,3,5,0,0,3,0.5,1,0.4375,0,0,5.5,1,1,1
0,4,10,2,0,4,0.3333,1,0.5,0,0,8.75,1,1,1
0,3,11,0,0,3,0.6667,1,0.4375,0,0,16,1,1,1
0,4,20,0,0,4,0.7143,1,0.325,0,0,23.25,1,1,1
1,2,13,0,0,2,0.5,1,0.4444,0,0,6.6667,1.333333333,2,1
1,4,18,0,0,4,0.4444,1,0.4444,0,0,15.1429,1.142857143,2,1
0,4,10,2,0,4,0.3333,1,0.5833,0,0,9,1,1,1
0,4,10,6,0,4,0.375,1,0.5,0,0,8.6,1,1,1
0,3,5,0,0,3,0,1,0.6667,0,0,6,1,1,1
0,3,7,1,0,3,2,0,0.6667,0,0,7.6667,1,1,1
0,4,14,14,0,4,0.75,1,0.4688,0,0,7.875,1,1,1
0,3,7,0,0,3,0.6667,1,0.375,0,0,7.25,1,1,1
0,3,2,0,0,3,2,0,1,0,0,6,1,1,1
1,1,3,0,0,1,0,1,0.75,0,0,4.5,1,1,1
1,12,46,291,0,12,0.8912,1,0.1667,0,0,10.5667,1.3,3,1
1,12,34,1,0,12,0.6667,1,0.4667,0,0,32.6667,3,12,1
0,6,22,5,0,6,0.5,1,0.4,0,0,15.4286,1.857142857,3,1
1,12,21,0,0,12,0,0,0.4127,0,0,18.5556,1,1,1
0,4,13,9,0,4,0.7222,1,0.4286,0,0,7.2857,1,1,1
0,4,10,2,0,4,0.3333,1,0.5833,0,0,8.75,1,1,1
0,4,3,0,0,4,0,1,0.625,0,0,6,1,1,1
1,1,11,6,0,1,0.75,0.3333,0.625,0,0,9.2,1,1,1
1,11,62,389,0,11,0.8706,1,0.1224,0,0,13.9143,1.628571429,5,1
1,8,13,0,0,8,0,1,0.5,0,0,20.75,1.5,3,1
1,39,68,25,0,39,0.6758,1,0.2551,0,0,17.4074,1.222222222,3,1
1,12,20,44,0,12,0.8831,1,0.2667,0,0,5.8333,1,1,1
0,3,7,0,0,3,0.3333,1,0.5,0,0,6.5,1,1,1
1,15,21,0,0,15,0,1,0.3125,0,0,15.5,1.375,3,1
1,1,4,0,0,1,0.5,1,0.5556,0,0,5,1,1,1
1,21,77,525,0,21,0.9205,1,0.103,0,0,14.5789,1.447368421,7,1
1,15,37,27,0,15,0.7929,1,0.1879,0,0,21.6667,1.6,4,1
1,11,40,228,0,11,0.9306,1,0.16,0,0,8.12,1.2,3,1
1,18,72,86,0,18,0.8438,1,0.25,0,0,34.2941,1.411764706,6,1
1,21,55,167,0,21,0.7679,1,0.1777,0,0,23.1364,1.227272727,2,1
1,8,36,153,0,8,2,0,0.3426,0,0,3.4444,1,1,1
1,3,7,0,0,3,0,0,0.5556,0,0,6.6667,1,1,1
1,11,36,70,0,11,0.875,1,0.2308,0,0,10.3077,1.384615385,3,1
1,3,16,0,0,3,0.5,1,0.6,0,0,10.6,1,1,1
1,4,19,0,0,4,0,1,0.3889,0,0,10.4444,1,1,1
1,3,18,0,0,3,0.5,1,0.4444,0,0,9.6667,1,1,1
1,8,14,13,0,8,0,1,0.6667,0,0,7,1,1,1
1,12,27,0,0,12,0.5,1,0.3393,0,0,26.8571,2,3,1
1,96,245,3272,0,96,0.9429,1,0.0536,0,0,19.2824,1.635294118,16,1
0,7,45,0,0,7,0.6111,1,0.1901,0,0,43,2.181818182,5,1
1,7,65,443,0,7,0.9024,1,0.1882,0,0,14.2647,1.529411765,4,1
0,7,32,0,0,7,0.1667,1,0.2418,0,0,12.1538,1.307692308,3,1
0,3,21,35,0,3,0.6,1,0.2468,0,0,4.3636,1,1,1
1,15,55,225,0,15,0.9365,1,0.2698,0,0,15.5,1.363636364,5,1
0,11,38,26,0,11,0.6909,1,0.213,0,0,15.75,1.25,3,1
0,11,54,0,0,11,0.6768,0.8889,0.2292,0,0,33.5833,1.666666667,6,1
0,7,39,0,0,7,0.5625,1,0.2222,0,0,29,1.545454545,4,1
0,10,48,3,0,10,0.5824,1,0.2063,0,0,24.5,1.357142857,2,1
0,27,94,6,0,27,0.726,0.9231,0.1629,0,0,44.0588,1.882352941,6,1
0,20,151,161,0,20,0.8452,1,0.2841,0,0,79.1364,1.545454545,6,1
1,3,7,8,0,3,0.75,1,0.5,0,0,5,1,1,1
1,9,70,18,0,9,0.75,1,0.3651,0,0,57.7778,1.777777778,5,1
1,2,12,3,0,2,0.5,1,0.3571,1,1,14.2857,1.142857143,2,1
1,33,121,157,0,33,0.9195,1,0.1133,0,0,37.6667,1.066666667,2,1
1,18,41,81,0,18,0.8333,1,0.1744,0,0,9.1333,1.2,2,1
1,6,22,0,0,6,0.5556,1,0.4286,0,0,23.2857,2.285714286,4,1
1,11,21,2,0,11,0.3333,1,0.5,0,0,26.75,1,1,1
1,5,18,0,0,5,0.25,1,0.4286,0,0,19.8571,2.857142857,6,1
1,1,12,6,0,1,2,0,0.3333,0,0,39.25,1.75,3,1
1,1,4,0,0,1,0.5,1,0.6667,0,0,5,1,1,1
1,4,8,6,0,4,2,0,0.4375,0,0,4.5,1,1,1
1,7,73,46,0,7,0.6042,1,0.1838,0,0,19.3529,1.529411765,6,1
1,4,40,22,0,4,0.5833,1,0.3077,0,0,23.1538,2.307692308,6,1
4,1,15,21,0,1,2,0,0.5238,0,0,7.4286,1.428571429,2,1
1,6,7,1,0,6,2,0,0.5,0,0,11.5,1,1,1
1,6,40,106,0,6,0.875,0.8333,0.2625,0,0,14.8235,1.352941176,3,1
0,10,143,6403,0,10,0.9889,0.5,0.145,0,0,7.9737,1.087719298,8,1
0,42,106,1964,0,42,0.9762,0.5,0.1058,0,0,7.9375,1.15625,9,1
1,2,10,1,0,2,0.6667,0.6667,0.375,0,0,8.8333,1,1,1
1,5,26,77,0,5,0.8929,0.375,0.2444,0,0,6.3333,1.066666667,2,1
1,15,52,2,0,15,0.3333,1,0.625,0,0,81.5,6,17,1
0,10,45,358,0,10,0.963,0.1111,0.1587,0,0,5.7857,1.071428571,2,1
0,32,178,7036,0,32,0.9702,0.1429,0.0668,0,0,8.2645,1.198347107,15,1
0,7,26,101,0,7,0.9524,0.3333,0.3,0,0,5.8667,1.066666667,2,1
0,17,71,629,0,17,0.973,1,0.1417,0,0,14.8684,1.421052632,14,1
0,6,25,87,0,6,0.9487,0.3333,0.2571,0,0,5.9286,1.071428571,2,1
0,5,55,535,0,5,0.9697,0.0714,0.1961,0,0,6.5,1.088235294,2,1
0,11,59,314,0,11,0.963,0.25,0.2143,0,0,16.0714,1.428571429,11,1
0,6,35,145,0,6,0.9412,0.25,0.25,0,0,6.4444,1.111111111,2,1
0,1,3,1,0,1,2,0,0.75,0,0,3,1,1,1
0,1,3,1,0,1,2,0,1,0,0,3,1,1,1
0,1,3,1,0,1,2,0,1,0,0,3,1,1,1
0,1,3,1,0,1,2,0,1,0,0,3,1,1,1
0,1,3,1,0,1,2,0,0.75,0,0,3,1,1,1
0,8,55,895,0,8,0.9702,0.25,0.1525,0,0,4.5581,1.023255814,2,1
0,9,26,17,0,9,0.8333,1,0.3143,0,0,21.7143,1.428571429,3,1
0,14,45,223,0,14,0.9524,1,0.1932,0,0,13.1818,1.181818182,4,1
0,15,48,296,0,15,0.9583,1,0.1567,0,0,9.8,1.28,6,1
0,13,69,616,0,13,0.9667,0.05,0.1737,0,0,7.2162,1.108108108,3,1
0,11,36,33,0,11,0.9,1,0.303,0,0,28.4545,1.545454545,6,1
1,52,220,32,0,52,0.925,0.75,0.1736,0,0,206.25,12.375,111,1
3,0,4,1,0,0,2,0,0.8333,0,0,4.5,1,1,1
1,2,4,1,0,2,2,0,0.5,0,0,2.5,1,1,1
1,3,19,86,0,3,0.8718,1,0.3958,0,0,6.3125,1,1,1
1,29,97,136,0,29,0.8246,1,0.2105,0,0,47.35,1.8,8,1
1,3,15,1,0,3,0.75,0.5,0.5,0,0,176.6667,2,3,1
1,25,90,24,0,25,0.75,0.3333,0.25,0,0,76.5556,5.444444444,19,1
2,4,38,0,0,4,0.9444,0.6667,1,1,1,47.75,3.25,10,1
1,7,19,9,0,7,0.9,0.5,0.1667,0,0,10.1667,1.666666667,3,1
1,0,8,1,0,0,2,0,0.5,0,0,7.5,1,1,1
1,1,7,9,0,1,0.6,1,0.375,0,0,2.3333,1,1,1
0,3,5,1,0,3,2,0,0.75,0,0,5.5,1.5,2,1
1,1,9,1,0,1,2,0,0.5,0,0,31.5,1,1,1
1,7,10,6,0,7,0.625,0.5,0.375,0,0,9,1.6,3,1
3,0,5,1,0,0,2,0,0.75,1,1,6.5,1.5,2,1
1,4,38,26,0,4,0.7167,1,0.3056,0,0,27.0769,2.153846154,7,1
1,0,4,3,0,0,2,0,0.8333,0,0,1.6667,1,1,1
0,1,6,4,0,1,0.8333,0,0.5,0,0,15.5,2.5,7,1
1,24,50,7,0,24,0.75,1,0.2619,0,0,54.8333,4,16,1
2,0,20,0,0,0,0.8611,1,0.3143,1,2,42.4286,4.428571429,25,1
2,65,180,489,0,65,0.8359,0.6429,0.1393,1,1,28.4211,1.684210526,5,1
1,5,41,13,0,5,0.5833,1,0.3056,0,0,59.8571,3.857142857,9,1
0,29,67,61,0,29,0.6154,1,0.2449,0,0,28.3571,1.928571429,7,1
1,3,22,85,0,3,0.9286,0.4444,0.5238,0,0,11.1333,1.8,7,1
0,9,52,28,0,9,2,0,0.4583,0,0,65.625,3.75,10,1
0,5,33,21,0,5,2,0,0.5143,0,0,30.8571,2.285714286,5,1
1,2,23,3,0,2,0,1,0.3667,0,0,13,1.333333333,2,1
0,11,28,0,0,11,0.3333,1,0.45,0,0,41,2.25,4,1
1,1,17,39,0,1,0.7778,1,0.42,0,0,7.1,1.3,3,1
0,20,53,13,0,20,0.8,1,0.3667,0,0,76.5,4.166666667,14,1
0,4,23,3,0,4,2,0,0.5,0,0,82.3333,4.666666667,12,1
0,8,28,11,0,8,0.4167,1,0.4048,0,0,17.8571,1.285714286,2,1
0,8,39,6,0,8,2,0,0.45,0,0,105,5.5,19,1
0,5,36,8,0,5,1.125,1,0.375,0,0,113.2,7,31,1
0,7,53,10,0,7,1.25,1,0.3714,0,0,73,6.2,21,1
0,18,62,10,0,18,2,0,0.4333,0,0,138.6,8,34,1
0,41,160,45,0,41,2,0,0.2444,0,0,178.6,11.9,56,1
0,3,7,3,0,3,2,0,0.5,0,0,8,1.333333333,2,1
0,11,40,26,0,11,0.5714,1,0.5,0,0,64.875,3.625,16,1
1,2,36,19,0,2,0.5,1,0.7778,0,0,42,3.714285714,9,1
0,3,6,3,0,3,2,0,0.5,0,0,7,1,1,1
0,8,12,6,0,8,2,0,0.5,0,0,14.75,1.5,3,1
0,14,43,0,0,14,0.7407,1,0.3095,0,0,49.4286,4.714285714,16,1
0,8,11,3,0,8,2,0,0.5,0,0,15.3333,1.666666667,3,1
0,3,8,3,0,3,2,0,0.5,0,0,13.6667,2,4,1
0,5,12,3,0,5,2,0,0.5,0,0,13,1,1,1
0,3,14,4,0,3,0.6667,1,0.5,0,0,17.5,2,3,1
0,3,6,3,0,3,2,0,0.5,0,0,7.6667,1,1,1
0,3,3,1,0,3,2,0,0.6,0,0,3,1,1,1
0,5,16,3,0,5,2,0,0.5,0,0,31,2,4,1
0,5,19,4,0,5,0.3333,1,0.3438,0,0,29.25,1.75,4,1
0,3,31,4,0,3,0.5833,1,1,0,0,31.8,1,1,1
1,5,50,7,0,5,0.7,1,0.2727,0,0,18.8182,1.454545455,3,1
0,3,11,3,0,3,2,0,0.5556,0,0,10.3333,2,4,1
0,8,34,16,0,8,0.5714,1,0.2857,0,0,19,1.5,4,1
1,2,28,4,0,2,0.8214,0.5714,0.6,0,0,40,1.2,2,1
1,0,11,1,0,0,2,0,0.5,0,0,25,2.5,4,1
1,1,11,15,0,1,2,0,0.3333,0,0,7.8333,1.333333333,2,1
0,5,24,0,0,5,0.5455,1,0.4167,0,0,13.9167,1.5,4,1
1,14,54,55,0,14,0.8632,1,0.0923,0,0,21.7143,2,13,1
1,33,62,6,0,33,0.5,0,0.45,0,0,147.25,4,8,1
1,4,8,0,0,4,0,1,0.75,0,0,11,1.5,2,1
1,4,7,0,0,4,0.5,0.5,0.4375,0,0,11.75,1.25,2,1
1,18,65,27,0,18,0.6091,0,0.2727,0,0,41.9091,2.727272727,9,1
1,23,73,34,0,23,0.875,1,0.2708,0,0,77.6667,6.888888889,27,1
1,8,47,26,0,8,0.7619,1,0.2571,0,0,73,5.75,25,1
1,29,73,16,0,29,0.5238,1,0.381,0,0,69.875,2.125,8,1
1,13,46,0,0,13,0.75,0.25,0.5556,0,0,102.75,8.5,24,1
1,19,34,6,0,19,1,0,0.381,0,0,52,6.25,21,1
1,30,76,53,0,30,0.7,1,0.4,0,0,65.9091,6.454545455,24,1
1,124,391,1943,0,124,0.9185,1,0.0958,0,0,69.2535,4.704225352,34,1
1,21,48,1,0,21,0.5,1,0.8,0,0,119.6667,3,7,1
1,28,71,52,0,28,0.8056,1,0.2,0,0,24,1.615384615,5,1
1,22,54,0,0,22,0,1,0.6667,0,0,179,6,10,2
0,32,88,282,0,32,0.9083,1,0.1886,0,0,19.72,1.8,20,1
1,20,89,63,0,20,0.8205,0.7778,0.2692,0,0,60.4286,4.5,20,1
1,1,20,1,0,1,0,1,0.6667,0,0,42.6667,1.333333333,2,1
1,19,59,47,0,19,0.7115,1,0.3286,0,0,20,1.714285714,8,1
1,112,223,325,0,112,2,0,0.1487,0,0,129.1154,10.80769231,92,1
1,17,30,0,0,17,2,0,1,0,0,188,1,1,1
1,43,87,134,0,43,0.9298,0.5833,0.28,0,0,25.15,1.55,5,1
1,4,15,1,0,4,2,0,0.5,0,0,156,4,7,1
1,13,30,12,0,13,0.6429,1,0.25,0,0,13.375,2.5,10,1
1,5,35,16,0,5,0.8571,1,0.1905,0,0,27.375,2.375,9,1
0,5,49,23,0,5,0.76,1,0.25,0,0,78.0909,5.818181818,25,1
1,98,378,4309,0,98,0.9798,0.64,0.0413,0,0,38.7766,3.606382979,17,1
1,25,43,0,0,25,0.4444,1,0.4167,0,0,63,2,3,1
1,15,69,0,0,15,0.4762,1,0.475,0,0,68,3.125,11,1
1,4,9,1,0,4,2,0,1,0,0,12,1.5,2,1
1,10,16,1,0,10,2,0,0.6667,0,0,28.5,2,3,1
1,11,24,6,0,11,1.3333,1,0.45,0,0,25.5,2.5,7,1
0,13,19,0,0,13,0.5833,1,0.6,0,0,15.8,2,6,1
0,16,31,4,0,16,2,0,0.4,0,0,43.8,1.2,2,1
0,11,34,68,0,11,0.7333,1,0.3281,0,0,17.4375,1.875,9,1
0,17,34,0,0,17,0.4583,1,0.1846,0,0,16.4615,2.153846154,8,1
1,20,68,134,0,20,0.7857,1,0.1448,0,0,17.3448,2.24137931,10,1
1,21,118,214,0,21,0.8085,0.8,0.1675,0,0,31.7,4.1,19,1
0,7,22,0,0,7,0,1,0.3036,0,0,10.4286,1.714285714,3,1
0,9,23,0,0,9,0.5833,1,0.2361,0,0,13.1111,2.444444444,7,1
1,1,3,0,0,1,0,1,0.75,0,0,4.5,1,1,1
0,6,14,3,0,6,0,0,0.6333,0,0,42,5.666666667,13,1
0,11,31,22,0,11,0.2857,1,0.3214,0,0,26.25,2,6,1
1,2,2,0,0,2,2,0,1,0,0,12,1,1,1
1,24,35,3,0,24,2,0,0.5333,0,0,82,2.666666667,5,1
1,15,36,0,0,15,0.5833,1,0.3571,0,0,33.7143,1.714285714,5,1
1,11,22,8,0,11,0.5,1,0.48,0,0,15.8,1.6,4,1
1,22,44,44,0,22,0.7818,1,0.3958,0,0,20.5833,1.333333333,3,1
1,12,21,7,0,12,0.7,1,0.375,0,0,34.6667,3.166666667,12,1
1,3,8,1,0,3,2,0,0.5,0,0,27.5,1.5,2,1
0,17,36,14,0,17,0.7727,0.9091,0.2321,0,0,75.7778,5.777777778,18,1
1,17,53,11,0,17,0.7593,1,0.2429,0,0,88.7,3.7,13,1
1,0,8,0,0,0,0.4524,0.7143,0.7143,0,0,22.2857,2,5,1
0,13,26,0,0,13,0.6667,1,0.4,0,0,53.25,5.5,17,1
0,26,63,79,0,26,0.8889,0.65,0.1435,0,0,57.7895,5.315789474,45,1
1,10,23,28,0,10,2,0,0.3125,0,0,11.25,1.875,4,1
1,7,37,54,0,7,0.7031,1,0.5208,0,0,11.0588,1.235294118,2,1
0,8,27,0,0,8,0,1,0.3778,0,0,9.0667,1.133333333,2,1
0,8,10,0,0,8,0.3333,0,0.5,0,0,8,1,1,1
1,4,19,13,0,4,0.3667,0,0.2614,0,0,15.8182,1.636363636,4,1
0,16,35,32,0,16,0.7879,1,0.2381,0,0,16.6667,1.166666667,3,1
0,7,40,43,0,7,0.7885,1,0.3265,0,0,26.7857,2.357142857,5,1
0,13,23,13,0,13,0.75,0,0.3714,0,0,13.5714,1.142857143,2,1
1,3,9,4,0,3,0.5,0,0.36,0,0,7,1,1,1
