depthOfInheritanceTree,Coupling between Object Classes,Response for a Class,Lack of Cohesion in Methods,Afferent Coupling ,Efferent Couplings,Lack of Cohesion in Methods 3,Data Access Metric,Cohesion Among Methods,Inheritance Coupling,Coupling Between Methods,Average Method Complexity,Average CC,Max CC,Min CC
1,5,23,46,0,5,0.9758,0.2,0.2909,1,1,9.1667,1.083333333,2,1
1,8,36,81,0,8,0.8015,1,0.2437,1,1,22.6667,2.555555556,23,1
1,8,41,174,0,8,0.8458,1,0.2681,1,1,25.5,2.916666667,38,1
1,7,35,108,0,7,0.8187,1,0.2719,1,1,20.1,1.8,15,1
1,5,23,46,0,5,0.9504,0.2727,0.2909,1,1,8.3333,1.083333333,2,1
1,7,53,531,0,7,0.8994,1,0.2613,1,1,27.0789,2.921052632,60,1
1,1,3,1,0,1,1,0,0.75,0,0,4.5,1,1,1
1,1,3,1,0,1,1,0,0.75,0,0,4.5,1,1,1
1,0,3,1,0,0,1,0,0.75,0,0,4.5,1,1,1
1,1,3,1,0,1,1,0,0.75,0,0,4.5,1,1,1
1,9,33,24,0,9,0.7273,1,0.2468,1,1,20.9167,2.583333333,14,1
1,7,27,24,0,7,0.7273,1,0.3273,1,1,19.25,2.333333333,14,1
1,5,23,46,0,5,0.965,0.2308,0.2909,1,1,8.75,1.083333333,2,1
1,7,29,39,0,7,0.7564,1,0.3231,1,1,21.0714,2.5,18,1
1,8,32,24,0,8,0.7273,1,0.2468,1,1,23.5833,2.833333333,14,1
1,5,23,46,0,5,0.9293,0.3333,0.2909,1,1,7.9167,1.083333333,2,1
1,10,35,39,0,10,0.7564,1,0.2212,1,1,24.1429,2.928571429,18,1
1,9,33,24,0,9,0.7273,1,0.2468,1,1,20.9167,2.583333333,14,1
1,5,23,46,0,5,0.9957,0.1429,0.2909,1,1,10.4167,1.083333333,2,1
1,5,23,46,0,5,0.984,0.1765,0.2909,1,1,9.5833,1.083333333,2,1
1,8,29,24,0,8,0.7273,1,0.2879,1,1,19,2.333333333,14,1
1,9,28,24,0,9,0.7273,1,0.2468,1,1,18.75,2.333333333,14,1
1,5,23,46,0,5,0.9504,0.2727,0.2909,1,1,8.3333,1.083333333,2,1
1,5,23,46,0,5,0.9504,0.2727,0.2909,1,1,8.3333,1.083333333,2,1
0,10,42,74,0,10,0.7946,1,0.2266,0,0,22.2941,2.470588235,19,1
1,8,33,24,0,8,0.7273,1,0.2468,1,1,20.1667,2.25,11,1
1,8,34,24,0,8,0.7273,1,0.2879,1,1,21.1667,2.583333333,14,1
1,7,27,24,0,7,0.7273,1,0.3273,1,1,19.25,2.333333333,14,1
1,7,27,24,0,7,0.7273,1,0.3273,1,1,19.25,2.333333333,14,1
0,34,81,0,0,34,0.1231,0.8,0.1864,0,0,184.7037,1,1,1
0,7,35,43,0,7,0.5476,1,0.3,0,0,13.9333,1.066666667,2,1
1,7,31,58,0,7,0.781,1,0.32,1,1,22.4375,2.625,22,1
1,7,25,13,0,7,0.6944,1,0.3333,1,1,16.7,2.1,10,1
1,5,23,46,0,5,0.9504,0.2727,0.2909,1,1,8.3333,1.083333333,2,1
1,9,28,24,0,9,0.7273,1,0.2468,1,1,18.75,2.333333333,14,1
1,1,3,1,0,1,1,0,0.75,0,0,4.5,1,1,1
1,1,3,1,0,1,1,0,0.75,0,0,4.5,1,1,1
1,1,3,1,0,1,1,0,0.75,0,0,4.5,1,1,1
2,1,11,7,0,1,0.9091,0.1818,0.4,1,1,25.1667,1.333333333,3,1
2,1,7,4,0,1,0.9167,0.25,0.4444,1,1,12,1,1,1
3,0,8,6,0,0,1.3333,1,0.6667,0,0,4,1,1,1
3,0,8,6,0,0,1.3333,1,0.6667,0,0,4,1,1,1
1,0,4,0,0,0,0.5,1,0.6667,0,0,5,1,1,1
1,0,4,0,0,0,0.5,1,0.5556,0,0,5,1,1,1
2,1,11,7,0,1,0.8333,0.3333,0.4,1,1,16,1.333333333,3,1
0,1,3,0,0,1,1,1,0.6667,0,0,5.5,1,1,1
0,1,8,6,0,1,1.3333,1,0.6667,0,0,4,1,1,1
0,1,6,0,0,1,1,1,0.75,0,0,9.5,1,1,1
1,2,24,1,0,2,1,0.5,0.5,0,0,43,1,1,1
2,1,8,6,0,1,0.8929,0.2857,0.4167,1,1,15.8,1,1,1
1,2,32,73,0,2,0.8039,1,0.3,1,1,9.1667,1.055555556,2,1
1,7,12,2,0,7,0.875,1,0.4667,0,0,13.6,1.4,3,1
0,10,15,3,0,10,0.4,1,0.5556,0,0,21,1,1,1
1,2,4,0,0,2,0.5,1,0.5556,0,0,5,1,1,1
0,8,20,3,0,8,0.85,1,0.2545,0,0,12.5455,1.545454545,6,1
1,2,4,1,0,2,1,1,0.5,0,0,5.5,1.5,2,1
1,6,10,15,0,6,1,1,1,0,0,5.6667,1,1,1
1,3,20,0,0,3,0,1,0.4,1,1,5.3,1.1,2,1
1,3,6,10,0,3,1,1,0.4,0,0,3.8,1,1,1
1,13,32,55,0,13,2,0,0.2091,0,0,18.1818,1.181818182,2,1
0,23,38,24,0,23,0.7045,1,0.2292,0,0,20.1667,1.083333333,2,1
1,2,4,0,0,2,0.5,1,0.5556,0,0,5,1,1,1
2,1,9,7,0,1,0.9111,0.2222,0.4,1,1,17.3333,1,1,1
1,19,37,0,0,19,0.3333,1,0.5833,0,0,68.6667,1,1,1
1,9,30,21,0,9,2,0,0.3571,0,0,34.1429,3.428571429,18,1
0,19,39,50,0,19,0.6818,1,0.3,0,0,16,1.083333333,2,1
1,9,19,0,0,9,0.3333,1,0.4375,0,0,28.25,1.75,4,1
1,4,11,1,0,4,1.1667,0.3333,0.5,0,0,20,1.333333333,2,1
1,10,21,1,0,10,0.4667,1,0.4286,0,0,20.7143,1.142857143,2,1
1,4,21,3,0,4,1.5,0,0.3333,0,0,39.6667,1,1,1
1,4,22,6,0,4,1.3333,0,0.25,0,0,27.75,1,1,1
1,2,8,1,0,2,2,0,0.5,0,0,15,1,1,1
1,3,17,3,0,3,1.5,0,0.3333,0,0,23.6667,1,1,1
1,2,12,1,0,2,2,0,0.5,0,0,20,1,1,1
1,3,17,3,0,3,1.5,0,0.3333,0,0,23.6667,1,1,1
1,2,9,1,0,2,2,0,0.5,0,0,16,1,1,1
1,3,11,1,0,3,2,0,0.5,0,0,33.5,1,1,1
1,4,22,10,0,4,1.25,0,0.2,0,0,22.4,1.4,3,1
1,10,28,13,0,10,1.12,0,0.2,0,0,26.3333,1.333333333,3,1
1,7,16,1,0,7,2,0,0.5,0,0,39.5,1,1,1
1,9,18,6,0,9,0.625,1,0.4167,0,0,18.8,1,1,1
0,8,27,43,0,8,0.9,0.3333,0.3,0,0,8.5455,1.090909091,2,1
0,2,8,15,0,2,2,0,1,0,0,8,1.833333333,2,1
0,8,9,1,0,8,2,0,0.75,0,0,26,2,3,1
0,24,69,188,0,24,0.9649,0.3333,0.2375,0,0,22.25,2.1,8,1
1,8,13,0,0,8,0.5,1,0.35,0,0,16,1,1,1
0,12,29,15,0,12,2,0,0.5833,0,0,21.3333,2,3,1
0,4,6,1,0,4,1,1,0.4444,0,0,7.6667,2,4,1
0,9,7,1,0,9,2,0,0.6,0,0,11.5,1,1,1
0,5,7,1,0,5,2,0,0.6667,0,0,19,1,1,1
0,13,25,1,0,13,2,0,0.6667,0,0,51.5,1,1,1
0,19,50,2,0,19,0.4318,1,0.25,0,0,29.9167,1,1,1
0,9,29,21,0,9,2,0,0.3571,0,0,38.1429,4,18,1
0,31,82,244,0,31,0.6739,1,0.2202,0,0,24.5,1.375,4,1
1,16,27,3,0,16,2,0,0.5,0,0,66.3333,2,4,1
0,1,5,2,0,1,0.6667,1,1,0,0,40.5,1,1,1
0,1,5,2,0,1,0.6667,1,1,0,0,40.5,1,1,1
0,1,5,2,0,1,0.6667,1,1,0,0,34.5,1,1,1
0,9,44,43,0,9,0.9444,0.5,0.3,0,0,13.8,1.4,3,1
0,14,26,6,0,14,2,0,0.5,0,0,40.5,4.5,11,1
0,11,19,0,0,11,0.55,1,0.36,0,0,31,1.2,2,1
0,21,40,19,0,21,0.8333,1,0.3265,0,0,25,1.142857143,2,1
0,15,30,6,0,15,0.875,1,0.3,0,0,30.4,2,4,1
0,19,30,1,0,19,0.5,1,0.5,0,0,45.6667,1.333333333,2,1
0,26,60,4,0,26,0.5238,1,0.275,0,0,53.625,2.125,5,1
0,12,53,34,0,12,0.875,1,0.2778,0,0,25.7778,1.444444444,4,1
0,27,72,49,0,27,0.7143,1,0.2041,0,0,30.9286,2.285714286,9,1
0,14,30,22,0,14,0.7857,1,0.3,0,0,19.5,1.875,4,1
1,4,7,3,0,4,1.5,0,0.4444,0,0,6.3333,1,1,1
1,9,34,10,0,9,2,0,0.2,0,0,42.4,2.6,4,1
1,2,11,1,0,2,2,0,0.5,0,0,21,1,1,1
1,2,9,10,0,2,2,0,0.3333,0,0,11.2,2.2,3,1
1,1,9,6,0,1,2,0,0.5,0,0,11.25,2.75,4,1
0,7,15,6,0,7,2,0,0.5,0,0,12.75,1,1,1
1,0,5,3,0,0,1.4667,0,1,0,0,2.3333,1,1,1
1,13,20,1,0,13,2,0,0.5,0,0,33.5,1.5,2,1
0,12,25,3,0,12,2,0,1,0,0,31.6667,1,1,1
1,7,12,1,0,7,2,0,0.75,0,0,20,2,3,1
0,9,20,3,0,9,2,0,1,0,0,16,1,1,1
0,10,17,1,0,10,2,0,1,0,0,36.5,1,1,1
0,2,7,1,0,2,2,0,1,0,0,7,1,1,1
1,7,12,1,0,7,2,0,0.75,0,0,20,2,3,1
0,11,22,1,0,11,2,0,1,0,0,71,1,1,1
1,7,39,33,0,7,0.8034,1,0.3214,0,0,17.9286,1,1,1
0,9,14,1,0,9,2,0,1,0,0,18.5,1,1,1
0,10,17,1,0,10,2,0,1,0,0,30,1,1,1
0,9,14,1,0,9,2,0,1,0,0,18.5,1,1,1
0,10,15,1,0,10,2,0,1,0,0,23,1,1,1
0,10,17,1,0,10,2,0,1,0,0,30,1,1,1
0,9,14,1,0,9,2,0,1,0,0,18.5,1,1,1
0,13,21,1,0,13,2,0,1,0,0,49,1,1,1
1,67,244,1073,0,67,0.9119,1,0.0726,0,0,26.5238,1.968253968,13,1
1,10,50,144,0,10,0.8222,1,0.3492,0,0,20.1905,1.380952381,3,1
0,1,6,10,0,1,2,0,1,0,0,2.2,1,1,1
1,1,27,3,0,1,2,0,0.5,0,0,47.3333,2.333333333,5,1
1,1,8,0,0,1,0.25,1,0.6667,0,0,12.3333,1.666666667,2,1
1,13,41,28,0,13,0.5,1,0.2407,0,0,12.2222,1.222222222,2,1
1,6,11,0,0,6,0.8889,0.6667,0.5,0,0,9.5,1,1,1
1,11,22,18,0,11,0.7083,1,0.3438,0,0,10.4444,1.444444444,3,1
1,4,20,9,0,4,0.8,1,0.4667,0,0,10,1.333333333,3,1
0,4,8,1,0,4,2,0,0.5,0,0,12,1.5,2,1
0,4,10,1,0,4,2,0,0.5,0,0,15,1.5,2,1
0,8,30,6,0,8,2,0,0.75,0,0,56.5,1.5,3,1
1,2,33,64,0,2,0.85,1,0.0833,0,0,13,1.846153846,8,1
1,86,120,79,0,86,0.5536,1,0.1929,0,0,59.8,3.333333333,14,1
1,0,10,14,0,0,0.619,1,0.5417,0,0,6.625,1.25,2,1
0,4,4,1,0,4,2,1,0.8333,0,0,4.5,1,1,1
0,5,11,2,0,5,0.3333,1,0.5833,0,0,11,1.5,3,1
1,5,34,94,0,5,0.84,1,0.2556,1,1,8.75,1.3125,3,1
2,0,5,1,0,0,2,0,1,0,0,17,1,1,1
6,16,53,12,0,16,0.7188,1,0.3333,0,0,28.4444,1.666666667,7,1
1,6,28,7,0,6,0.3889,1,0.3,0,0,16.1429,1.571428571,4,1
6,27,108,93,0,27,0.803,1,0.213,0,0,43.7895,1.157894737,4,1
5,10,68,135,0,10,0.7249,1,0.3095,0,0,17.5909,1.545454545,4,1
2,1,5,1,0,1,0.5,1,0.6667,0,0,6.6667,1.333333333,2,1
0,7,11,0,0,7,0.5,1,0.5,0,0,34,2,3,1
6,3,17,0,0,3,0.1667,1,0.5625,0,0,16,1.5,2,1
2,1,12,1,0,1,0.75,1,0.6667,0,0,12,1,1,1
5,16,63,78,0,16,0.8417,1,0.2143,0,0,25.6471,1.411764706,4,1
5,15,76,17,0,15,0.65,1,0.3333,0,0,40.7273,1.727272727,6,1
5,7,34,15,0,7,0.6615,1,0.2564,0,0,14.7143,1.714285714,6,1
2,1,2,0,0,1,2,0,1,0,0,4,1,1,1
6,19,90,461,0,19,0.8889,0.9444,0.1953,2,5,19.2647,1.205882353,4,1
6,10,51,93,0,10,0.8403,0.8571,0.2437,2,5,14.5,1.111111111,2,1
1,4,8,3,0,4,2,0,0.6,0,0,10.3333,1,1,1
1,2,28,0,0,2,0.3333,0,0.6667,0,0,30.2857,2.142857143,3,1
1,3,30,9,0,3,0.7828,1,0.2857,0,0,35.6,1.5,2,1
1,6,16,7,0,6,0.6,1,0.4,0,0,9.6667,1.5,2,1
7,3,58,43,0,3,0.75,1,0.6,0,0,29.3636,1.818181818,5,1
0,30,136,212,0,30,0.7857,1,0.2167,0,0,31.44,2.12,14,1
1,81,205,1137,0,81,0.8935,1,0.0849,0,0,22.7069,2.155172414,6,1
0,6,64,750,0,6,0.7436,1,0.2375,0,0,9.875,1.2,5,1
0,4,5,0,0,4,2,0,1,0,0,16,1,1,1
5,5,79,288,0,5,0.8796,1,0.2275,3,22,28.4643,2.357142857,8,1
0,3,17,34,0,3,0,1,0.4444,0,0,8.5556,1.111111111,2,1
5,3,3,0,0,3,2,0,1,0,0,10,1,1,1
1,3,12,0,0,3,0.1667,1,0.5,0,0,20.6667,2,3,1
1,6,21,20,0,6,0.625,1,0.2698,0,0,14.3333,1.777777778,4,1
1,2,3,1,0,2,2,0,0.75,0,0,2,1,1,1
2,1,6,2,0,1,0.8889,1,0.5833,0,0,8.5,1.5,3,1
5,6,10,3,0,6,2,0,0.6667,0,0,11.6667,1,1,1
