NoGenSMAVG,NoSMAVG,NoPubSMAVG,NoProSMAVG,NoPriSMAVG,NoDefSMAVG,NoGenMAVG,NoMAVG,NoPubMAVG,NoProMAVG,NoPriMAVG,NoDefMAVG,NoAMAVG,NoPubAMAVG,NoProAMAVG,NoDefAMAVG,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NoGenSMMAX,NoSMMAX,NoPubSMMAX,NoProSMMAX,NoPriSMMAX,NoDefSMMAX,NoGenMMAX,NoMMAX,NoPubMMAX,NoProMMAX,NoPriMMAX,NoDefMMAX,NoAMMAX,NoPubAMMAX,NoProAMMAX,NoDefAMMAX,NoGenSMSTD,NoSMSTD,NoPubSMSTD,NoProSMSTD,NoPriSMSTD,NoDefSMSTD,NoGenMSTD,NoMSTD,NoPubMSTD,NoProMSTD,NoPriMSTD,NoDefMSTD,NoAMSTD,NoPubAMSTD,NoProAMSTD,NoDefAMSTD,NoGenSMSUM,NoSMSUM,NoPubSMSUM,NoProSMSUM,NoPriSMSUM,NoDefSMSUM,NoGenMSUM,NoMSUM,NoPubMSUM,NoProMSUM,NoPriMSUM,NoDefMSUM,NoAMSUM,NoPubAMSUM,NoProAMSUM,NoDefAMSUM
0.17509363,1.12578028,0.70411985,0.01061174,0.3102372,0.10081149,0.44413234,5.87952559,4.59363296,0.45786517,0.42977528,0.39825219,0.44475655,0.37515606,0.028402,0.0411985,1.52,1.45,1.68,1.04,129.51,15.34,77.38,41.74,2749,2660,3731,8901,1231,8905,24182,7262,26842,19440,3731,4302,1815,16994,159429,18886,95252,47533,50910,51384,1655118852,42035,57238,33440,23798,13884,13311,15371,9564,3603,81,81,81,41,424,8,0.54,13884,13311,15371,9564,17,92,65,8,70,33,31,154,154,43,116,59,150,150,3,9,0.94953377,4.574883616,3.419372073,0.211733822,1.990114789,0.91328759,1.752739935,10.23624647,8.732980775,2.150349955,2.568973587,1.928968841,3.512916327,3.485616173,0.190615845,0.346447009,561,3607,2256,34,994,323,1423,18838,14718,1467,1377,1276,1425,1202,91,132
0.17446941,1.12765293,0.70411985,0.01061174,0.31210986,0.10081149,0.44413234,5.88108614,4.59394507,0.45786517,0.43102372,0.39825219,0.44475655,0.37515606,0.028402,0.0411985,1.57,1.5,1.73,1.06,130.98,15.4,78.86,41.65,2762,2693,3737,9036,1239,9040,24554,7268,27247,19607,3749,4602,1821,17075,162285,19078,97703,47898,52292,51608,1655856322,42852,58694,33803,24891,14556,13925,16046,9849,4189,81,81,81,41,424,8,0.53,14556,13925,16046,9849,17,92,65,8,70,33,31,154,154,43,116,59,150,150,3,9,0.945696541,4.578309809,3.419372073,0.211733822,1.998430262,0.91328759,1.752739935,10.23746903,8.733227594,2.150349955,2.571921529,1.928968841,3.512916327,3.485616173,0.190615845,0.346447009,559,3613,2256,34,1000,323,1423,18843,14719,1467,1381,1276,1425,1202,91,132
0.18034321,1.13915757,0.70546022,0.01092044,0.32199688,0.10078003,0.44804992,5.88330733,4.59625585,0.45928237,0.42964119,0.39812793,0.44524181,0.37566303,0.02839314,0.04118565,1.57,1.5,1.73,1.06,130.98,15.4,78.86,41.65,2762,2693,3737,9036,1239,9040,24554,7268,27247,19607,3749,4602,1821,17075,162285,19078,97703,47898,52292,51608,1655856322,42852,58694,33803,24891,14556,13925,16046,9849,4189,81,81,81,41,424,8,0.53,14556,13925,16046,9849,17,92,65,9,70,33,31,154,154,43,116,59,150,150,3,9,0.953483084,4.595050438,3.422689933,0.223863247,2.02955535,0.913146837,1.754210474,10.23624768,8.733987891,2.150495089,2.560066795,1.928680712,3.512386815,3.48510097,0.190586765,0.346393721,578,3651,2261,35,1032,323,1436,18856,14731,1472,1377,1276,1427,1204,91,132
0.17991893,1.13875897,0.70502027,0.01091363,0.32210789,0.10071718,0.4477705,5.88462738,4.59713128,0.45899595,0.43062052,0.39787964,0.44621141,0.37667602,0.02837543,0.04115996,1.55,1.48,1.7,1.05,131.12,15.46,78.98,41.55,2792,2861,3830,9404,1268,9441,25317,7301,28178,20365,3808,4764,1875,17731,166266,19606,100142,49116,53472,52680,1655856752,43988,60205,34652,25553,14985,14354,16510,10213,4272,81,81,81,41,424,8,0.53,14985,14354,16510,10213,17,92,65,9,70,33,31,154,154,43,116,59,150,150,3,9,0.953091695,4.594612301,3.421667836,0.223793598,2.030962586,0.912865524,1.753699067,10.23508082,8.732977002,2.149854997,2.559690469,1.928104839,3.51186112,3.484608026,0.190528646,0.346287219,577,3652,2261,35,1033,323,1436,18872,14743,1472,1381,1276,1431,1208,91,132
0.17975078,1.14579439,0.7046729,0.01090343,0.32959502,0.10062305,0.44735203,5.88255452,4.594081,0.45856698,0.43239875,0.39750779,0.44579439,0.37632399,0.02834891,0.0411215,1.54,1.48,1.7,1.05,131.23,15.46,79.21,41.42,2823,2948,3836,9524,1280,9556,25588,7385,28536,20978,3836,4857,1878,17965,167971,19788,101385,49586,54206,53018,1655856926,44535,60924,34971,25953,15149,14519,16681,10332,4302,81,81,81,41,424,8,0.52,15149,14519,16681,10332,17,92,65,9,70,33,31,154,154,43,116,59,150,150,3,9,0.950370284,4.605149773,3.420208858,0.223689245,2.061310148,0.912444042,1.752932789,10.23324134,8.730440311,2.148895928,2.561628579,1.927241994,3.51024616,3.482998342,0.190441567,0.346127649,577,3678,2262,35,1058,323,1436,18883,14747,1472,1388,1276,1431,1208,91,132
0.18009331,1.14712286,0.70637636,0.01088647,0.32939347,0.10046656,0.4466563,5.87620529,4.58849145,0.45847589,0.43234837,0.39688958,0.44510109,0.37573873,0.02830482,0.04105754,1.55,1.48,1.7,1.05,131.46,15.49,79.41,41.42,2834,2981,3851,9562,1284,9593,25668,7433,28649,21042,3838,4872,1884,18055,168800,19891,101960,49772,54579,53186,1655857030,44753,61221,35125,26096,15223,14591,16754,10370,4321,81,81,81,41,424,8,0.52,15223,14591,16754,10370,17,92,65,9,70,33,31,154,154,43,116,59,150,150,3,9,0.95019454,4.608309855,3.425129859,0.223515649,2.0618864,0.911742866,1.751657873,10.22893055,8.725618315,2.151942703,2.560923954,1.925806482,3.507559503,3.480320485,0.1902967,0.34586219,579,3688,2271,35,1059,323,1436,18892,14752,1474,1390,1276,1431,1208,91,132
0.17947123,1.14712286,0.7066874,0.01088647,0.32908243,0.10046656,0.4466563,5.87838258,4.59004666,0.45847589,0.43297045,0.39688958,0.44510109,0.37573873,0.02830482,0.04105754,1.54,1.48,1.7,1.05,131.59,15.52,79.57,41.55,2874,2984,3854,9609,1289,9656,25842,7490,28826,21125,3871,4881,1887,18187,169614,20008,102563,50176,54729,53554,1655860382,44925,61492,35289,26203,15292,14659,16823,10415,4335,81,81,81,41,424,8,0.52,15292,14659,16823,10415,17,92,65,9,70,33,31,154,154,43,116,59,150,150,3,9,0.949002112,4.608444844,3.425837524,0.223515649,2.060955311,0.911742866,1.751657873,10.23173862,8.727740966,2.151942703,2.562518756,1.925806482,3.507559503,3.480320485,0.1902967,0.34586219,577,3688,2272,35,1058,323,1436,18899,14757,1474,1392,1276,1431,1208,91,132
0.17990726,1.15394127,0.71128284,0.01112828,0.33137558,0.10015456,0.4438949,5.87171561,4.58145286,0.45564142,0.43647604,0.39814529,0.44358578,0.37434312,0.02812983,0.04111283,1.56,1.49,1.71,1.06,178.74,15.63,126.99,88.29,3216,3142,4324,10539,1391,10574,28235,8817,31377,22110,4733,5367,1902,19375,248629,21741,176638,53707,124707,122807,1695338373,48292,66406,38023,28383,16995,16205,18580,11529,5488,81,81,81,41,424,8,0.7,16995,16205,18580,11529,17,92,65,9,70,33,31,154,154,43,116,59,150,150,3,9,0.949626783,4.609691332,3.429048479,0.228968105,2.066944925,0.909090264,1.746585711,10.22192331,8.713813,2.144716706,2.565114664,1.922870477,3.496275537,3.469080493,0.189720518,0.345217712,582,3733,2301,36,1072,324,1436,18995,14821,1474,1412,1288,1435,1211,91,133
0.21033762,1.22019719,0.76307141,0.0107559,0.33642068,0.10994921,0.46579026,5.81266806,4.53570362,0.44636988,0.42844338,0.40215118,0.45652823,0.38571855,0.02838363,0.04242605,1.56,1.49,1.7,1.06,178.46,15.67,126.6,87.8,3300,3181,4441,10701,1407,10725,28679,9061,31860,22401,4823,5454,1932,19651,251092,22054,178131,54415,125308,123534,1695338597,48810,67186,38580,28606,17199,16409,18784,11702,5532,81,81,81,41,424,8,0.69,17199,16409,18784,11702,17,92,80,9,70,30,28,154,154,43,116,59,150,150,3,9,1.018490878,4.86564988,3.773506769,0.225113448,2.052870808,0.884338838,1.784710232,10.11351087,8.617983494,2.113108984,2.526206367,1.853033472,3.471012956,3.445986713,0.191157651,0.344826245,704,4084,2554,36,1126,368,1559,19455,15181,1494,1434,1346,1528,1291,95,142
0.21239453,1.20977597,0.76171079,0.01047425,0.3287751,0.10881583,0.46697702,5.71981379,4.46726797,0.43439046,0.42129764,0.39685773,0.46377655,0.39423916,0.02764038,0.041897,1.55,1.48,1.7,1.06,173.15,15.63,121.85,86.33,3337,3106,4485,10786,1432,10848,29200,9138,32306,22947,4861,5454,1941,20050,247945,22382,174494,52397,120909,123628,1695338800,44075,62662,36363,26299,17330,16540,18919,11795,5551,81,81,81,41,424,8,0.71,17330,16540,18919,11795,17,92,80,9,70,30,28,154,154,43,117,59,150,150,3,9,1.022720077,4.828081696,3.756861287,0.222153168,2.027199692,0.881270356,1.775885236,10.02909907,8.539789764,2.086467687,2.507826621,1.833535441,3.446449733,3.420182016,0.188692701,0.348723443,730,4158,2618,36,1130,374,1605,19659,15354,1493,1448,1364,1594,1355,95,144
