,SOREN_0.75,SOREN_0.5,JAC_0.75,JAC_0.5,BUNCH
cassandra,0.642,0.455,0.565,0.413,0.668
checkstyle,0.765,0.677,0.545,0.462,0.77
jmeter,0.533,0.492,0.487,0.433,0.667
log4j2,0.734,0.687,0.789,0.641,0.719
RxJava,0.871,0.824,0.765,0.744,0.821
