"Component","NumberOfChanges","NumberConsecutiveChanges","NumberCodeBursts","TotalBurstSize","MaximumCodeBurst","NumberOfChangesEarly","NumberOfConsecutiveChangesEarly","NumberCodeBurstsEarly","TotalBurstSizeEarly","MaximumCodeBurstEarly","NumberOfChangesLate","NumberConsecutiveChangesLate","NumberCodeBurstsLate","TotalBurstSizeLate","MaximumCodeBurstLate","TimeFirstBurst","TimeLastBurst","TimeMaxBurst","PeopleTotal","TotalPeopleInBurst","MaxPeopleInBurst","ChurnTotal","TotalChurnInBurst","MaxChurnInBurst"
"CharSequenceUtils","8","5","5","8","3","8","5","5","8","3","0","0","0","0","0","10","190","131","3","3","2","397","397","225"
"exception/CloneFailedException","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","112","112","112","1","1","1","1","1","1"
"mutable/MutableFloat","4","4","4","4","1","2","2","2","2","1","2","2","2","2","1","112","446","112","3","3","1","7","7","2"
"math/NumberUtils","10","7","7","10","4","4","4","4","4","1","6","3","3","6","4","112","449","379","4","4","1","102","102","40"
"reflect/TypeUtils","5","5","5","5","1","5","5","5","5","1","0","0","0","0","0","66","300","66","3","3","1","77","77","68"
"ImmutablePair","9","8","8","9","2","9","8","8","9","2","0","0","0","0","0","32","191","36","6","6","2","294","294","103"
"text/translate/EntityArrays","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","35","112","35","2","2","1","65","65","38"
"EnumUtils","5","4","4","5","2","5","4","4","5","2","0","0","0","0","0","24","354","354","4","4","2","228","228","155"
"builder/IDKey","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","112","112","112","1","1","1","1","1","1"
"concurrent/AtomicInitializer","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","45","112","45","1","1","1","2","2","1"
"compare/ComparatorChain","3","3","3","3","1","0","0","0","0","0","3","3","3","3","1","397","441","397","1","1","1","350","350","347"
"builder/StandardToStringStyle","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","112","128","112","1","1","1","83","83","80"
"mutable/MutableObject","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","14","112","14","2","2","1","4","4","3"
"time/DurationFormatUtils","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","14","302","14","3","3","1","56","56","39"
"exception/ContextedRuntimeException","5","4","4","5","2","4","3","3","4","2","1","1","1","1","1","112","372","291","3","3","2","242","242","117"
"CharSetUtils","6","6","6","6","1","6","6","6","6","1","0","0","0","0","0","29","295","29","4","4","1","181","181","130"
"text/translate/AggregateTranslator","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","112","112","112","1","1","1","1","1","1"
"event/EventListenerSupport","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","14","55","14","2","2","1","106","106","71"
"concurrent/ConcurrentUtils","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","45","112","45","2","2","1","33","33","31"
"text/translate/NumericEntityUnescaper","6","3","3","6","3","6","3","3","6","3","0","0","0","0","0","112","287","287","1","1","1","91","91","64"
"text/StrBuilder","6","6","6","6","1","5","5","5","5","1","1","1","1","1","1","14","379","14","3","3","1","17","17","4"
"mutable/MutableShort","4","4","4","4","1","2","2","2","2","1","2","2","2","2","1","112","446","112","3","3","1","7","7","2"
"time/FastDateFormat","7","5","5","7","3","7","5","5","7","3","0","0","0","0","0","73","308","228","5","5","2","654","654","373"
"tuple/Pair","11","8","8","11","4","11","8","8","11","4","0","0","0","0","0","191","274","240","4","4","1","300","300","184"
"Range","8","7","7","8","2","8","7","7","8","2","0","0","0","0","0","6","335","6","4","4","1","615","615","417"
"time/StopWatch","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","112","112","112","1","1","1","1","1","1"
"time/DateFormatUtils","3","2","2","3","2","3","2","2","3","2","0","0","0","0","0","20","112","20","2","2","1","72","72","67"
"builder/HashCodeBuilder","7","6","6","7","2","7","6","6","7","2","0","0","0","0","0","42","300","157","6","6","2","310","310","192"
"text/WordUtils","7","4","4","7","4","7","4","4","7","4","0","0","0","0","0","112","351","297","2","2","1","89","89","75"
"JavaVersion","6","6","6","6","1","5","5","5","5","1","1","1","1","1","1","23","369","23","4","4","1","151","151","66"
"text/StrSubstitutor","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","14","112","14","3","3","1","12","12","6"
"concurrent/ConcurrentException","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","45","112","45","1","1","1","2","2","1"
"StringUtils","57","21","21","57","12","54","19","19","54","12","3","3","3","3","1","14","445","109","6","6","2","4008","4008","1444"
"text/StrLookup","3","3","3","3","1","2","2","2","2","1","1","1","1","1","1","68","379","68","3","3","1","8","8","5"
"RandomStringUtils","5","5","5","5","1","5","5","5","5","1","0","0","0","0","0","14","351","14","4","4","1","56","56","41"
"SerializationException","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","30","112","30","2","2","1","17","17","16"
"mutable/MutableByte","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","112","446","112","1","1","1","3","3","2"
"exception/ExceptionUtils","6","5","5","6","2","6","5","5","6","2","0","0","0","0","0","108","300","169","3","3","1","41","41","13"
"mutable/MutableBoolean","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","112","446","112","1","1","1","3","3","2"
"time/FormatCache","3","2","2","3","2","3","2","2","3","2","0","0","0","0","0","200","245","245","1","1","1","206","206","201"
"ArrayUtils","15","11","11","15","3","11","9","9","11","2","4","2","2","4","3","4","388","376","7","7","2","2418","2418","1284"
"exception/DefaultExceptionContext","6","5","5","6","2","6","5","5","6","2","0","0","0","0","0","14","302","291","4","4","2","198","198","149"
