"Component","NumberOfChanges","NumberConsecutiveChanges","NumberCodeBursts","TotalBurstSize","MaximumCodeBurst","NumberOfChangesEarly","NumberOfConsecutiveChangesEarly","NumberCodeBurstsEarly","TotalBurstSizeEarly","MaximumCodeBurstEarly","NumberOfChangesLate","NumberConsecutiveChangesLate","NumberCodeBurstsLate","TotalBurstSizeLate","MaximumCodeBurstLate","TimeFirstBurst","TimeLastBurst","TimeMaxBurst","PeopleTotal","TotalPeopleInBurst","MaxPeopleInBurst","ChurnTotal","TotalChurnInBurst","MaxChurnInBurst"
"text/translate/NumericEntityEscaper","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","71","263","71","2","2","1","165","165","74"
"concurrent/ConcurrentInitializer","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","45","112","45","1","1","1","2","2","1"
"builder/EqualsBuilder","9","8","8","9","2","9","8","8","9","2","0","0","0","0","0","32","191","41","5","5","2","133","133","57"
"Validate","9","8","8","9","2","8","7","7","8","2","1","1","1","1","1","14","382","330","5","5","1","895","895","368"
"concurrent/CallableBackgroundInitializer","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","45","45","45","1","1","1","1","1","1"
"builder/Builder","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","30","112","30","2","2","1","3","3","2"
"math/Fraction","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","112","112","112","1","1","1","5","5","5"
"text/translate/LookupTranslator","3","2","2","3","2","3","2","2","3","2","0","0","0","0","0","112","174","174","2","2","1","31","31","30"
"text/FormatFactory","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","112","112","112","1","1","1","1","1","1"
"compare/ComparatorUtils","3","3","3","3","1","0","0","0","0","0","3","3","3","3","1","395","441","395","1","1","1","295","295","247"
"concurrent/BasicThreadFactory","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","42","42","42","1","1","1","2","2","2"
"ObjectUtils","11","9","9","11","2","9","8","8","9","2","2","1","1","2","2","26","374","325","5","5","1","375","375","189"
"reflect/ConstructorUtils","8","7","7","8","2","8","7","7","8","2","0","0","0","0","0","57","290","290","5","5","2","272","272","178"
"AnnotationUtils","10","7","7","10","3","10","7","7","10","3","0","0","0","0","0","8","99","99","4","4","1","329","329","109"
"tuple/ImmutablePair","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","191","240","191","2","2","1","109","109","103"
"text/StrMatcher","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","112","299","112","3","3","1","7","7","4"
"builder/ToStringBuilder","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","91","112","91","2","2","1","84","84","81"
"CharSet","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","29","147","29","3","3","1","67","67","39"
"reflect/MethodUtils","7","7","7","7","1","6","6","6","6","1","1","1","1","1","1","112","371","112","2","2","1","89","89","38"
"util/FormattableUtils","3","2","2","3","2","3","2","2","3","2","0","0","0","0","0","202","208","202","2","2","2","286","286","144"
"CharEncoding","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","27","112","27","3","3","1","144","144","112"
"text/translate/UnicodeEscaper","6","6","6","6","1","6","6","6","6","1","0","0","0","0","0","72","351","72","3","3","1","183","183","78"
"time/DateUtils","10","6","6","10","4","10","6","6","10","4","0","0","0","0","0","16","300","16","4","4","1","328","328","279"
"tuple/MutablePair","3","2","2","3","2","3","2","2","3","2","0","0","0","0","0","191","238","238","3","3","2","139","139","123"
"math/IEEE754rUtils","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","112","112","112","1","1","1","1","1","1"
"text/StrTokenizer","3","3","3","3","1","2","2","2","2","1","1","1","1","1","1","14","371","14","3","3","1","16","16","10"
"concurrent/TimedSemaphore","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","45","45","45","1","1","1","3","3","3"
"reflect/FieldUtils","6","5","5","6","2","6","5","5","6","2","0","0","0","0","0","58","300","275","3","3","1","82","82","50"
"text/translate/CharSequenceTranslator","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","112","311","112","2","2","1","44","44","33"
"BitField","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","30","112","30","2","2","1","29","29","22"
"concurrent/AtomicSafeInitializer","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","45","112","45","2","2","1","4","4","2"
"text/translate/CodePointTranslator","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","112","261","112","2","2","1","3","3","2"
"mutable/MutableDouble","4","4","4","4","1","2","2","2","2","1","2","2","2","2","1","112","446","112","3","3","1","7","7","2"
"reflect/MemberUtils","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","112","284","112","3","3","1","15","15","8"
"text/translate/UnicodeUnescaper","5","4","4","5","2","4","3","3","4","2","1","1","1","1","1","112","371","307","2","2","1","96","96","46"
"concurrent/ConstantInitializer","3","2","2","3","2","3","2","2","3","2","0","0","0","0","0","42","112","42","2","2","2","4","4","3"
"concurrent/MultiBackgroundInitializer","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","45","54","45","2","2","1","4","4","3"
"concurrent/ConcurrentRuntimeException","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","45","112","45","1","1","1","2","2","1"
"mutable/MutableInt","4","4","4","4","1","2","2","2","2","1","2","2","2","2","1","112","446","112","3","3","1","7","7","2"
"concurrent/BackgroundInitializer","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","45","45","45","1","1","1","1","1","1"
"LocaleUtils","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","25","112","25","2","2","1","147","147","138"
"exception/ExceptionContext","4","3","3","4","2","4","3","3","4","2","0","0","0","0","0","112","291","291","3","3","2","146","146","86"
"text/translate/OctalUnescaper","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","112","112","112","1","1","1","1","1","1"
"CharRange","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","29","147","29","2","2","1","33","33","26"
"StringEscapeUtils","11","8","8","11","3","11","8","8","11","3","0","0","0","0","0","30","351","30","3","3","2","271","271","194"
"SerializationUtils","5","5","5","5","1","4","4","4","4","1","1","1","1","1","1","30","363","30","3","3","1","144","144","87"
"ClassUtils","7","7","7","7","1","7","7","7","7","1","0","0","0","0","0","30","305","30","4","4","1","301","301","242"
"builder/CompareToBuilder","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","14","157","14","4","4","1","57","57","46"
"BooleanUtils","11","7","7","11","3","10","6","6","10","3","1","1","1","1","1","14","379","322","4","4","1","698","698","268"
"MutablePair","8","7","7","8","2","8","7","7","8","2","0","0","0","0","0","32","191","36","6","6","2","354","354","123"
"mutable/Mutable","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","112","368","112","2","2","1","3","3","2"
"CharUtils","6","6","6","6","1","4","4","4","4","1","2","2","2","2","1","30","432","30","3","3","1","74","74","22"
"Pair","12","7","7","12","6","12","7","7","12","6","0","0","0","0","0","32","191","177","5","5","3","447","447","184"
"compare/NullComparator","3","2","2","3","2","0","0","0","0","0","3","2","2","3","2","399","441","399","1","1","1","188","188","186"
"text/FormattableUtils","6","4","4","6","2","6","4","4","6","2","0","0","0","0","0","208","249","208","5","5","2","233","233","144"
"text/CompositeFormat","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","112","112","112","1","1","1","2","2","2"
"compare/ReverseComparator","3","2","2","3","2","0","0","0","0","0","3","2","2","3","2","400","441","400","1","1","1","132","132","130"
"exception/ContextedException","5","4","4","5","2","4","3","3","4","2","1","1","1","1","1","112","372","291","3","3","2","239","239","113"
"compare/ComparableComparator","2","2","2","2","1","0","0","0","0","0","2","2","2","2","1","396","402","396","1","1","1","131","131","129"
"SystemUtils","4","4","4","4","1","3","3","3","3","1","1","1","1","1","1","30","444","30","3","3","1","1022","1022","651"
"concurrent/LazyInitializer","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","45","112","45","1","1","1","2","2","1"
"compare/FixedOrderComparator","3","3","3","3","1","0","0","0","0","0","3","3","3","3","1","398","441","398","1","1","1","253","253","247"
"event/EventUtils","5","3","3","5","3","5","3","3","5","3","0","0","0","0","0","14","165","165","3","3","1","89","89","47"
"text/ExtendedMessageFormat","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","67","300","67","3","3","1","55","55","47"
"builder/ToStringStyle","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","15","164","15","4","4","1","22","22","10"
"builder/ReflectionToStringBuilder","6","4","4","6","3","6","4","4","6","3","0","0","0","0","0","45","156","156","3","3","1","177","177","148"
"mutable/MutableLong","4","4","4","4","1","2","2","2","2","1","2","2","2","2","1","112","446","112","3","3","1","7","7","2"
