"Component","NumberOfChanges","NumberConsecutiveChanges","NumberCodeBursts","TotalBurstSize","MaximumCodeBurst","NumberOfChangesEarly","NumberOfConsecutiveChangesEarly","NumberCodeBurstsEarly","TotalBurstSizeEarly","MaximumCodeBurstEarly","NumberOfChangesLate","NumberConsecutiveChangesLate","NumberCodeBurstsLate","TotalBurstSizeLate","MaximumCodeBurstLate","TimeFirstBurst","TimeLastBurst","TimeMaxBurst","PeopleTotal","TotalPeopleInBurst","MaxPeopleInBurst","ChurnTotal","TotalChurnInBurst","MaxChurnInBurst"
"text/translate/AggregateTranslator","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","261","261","261","1","1","1","1","1","1"
"event/EventListenerSupport","13","4","4","13","4","13","4","4","13","4","0","0","0","0","0","239","301","239","2","2","2","748","748","436"
"concurrent/ConcurrentUtils","3","3","3","3","1","2","2","2","2","1","1","1","1","1","1","174","437","174","1","1","1","185","185","100"
"text/translate/NumericEntityUnescaper","3","3","3","3","1","2","2","2","2","1","1","1","1","1","1","213","404","213","2","2","1","13","13","9"
"event/AbstractEventSupport","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","225","248","225","2","2","1","314","314","157"
"text/StrBuilder","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","4","125","4","3","3","1","46","46","24"
"mutable/MutableShort","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","125","125","125","1","1","1","1","1","1"
"time/FastDateFormat","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","20","316","20","1","1","1","5","5","2"
"Range","14","9","9","14","3","14","9","9","14","3","0","0","0","0","0","23","261","71","4","4","2","120","120","58"
"time/StopWatch","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","218","218","218","1","1","1","2","2","2"
"builder/HashCodeBuilder","10","7","7","10","3","10","7","7","10","3","0","0","0","0","0","62","221","62","4","4","1","104","104","39"
"text/WordUtils","4","4","4","4","1","2","2","2","2","1","2","2","2","2","1","56","396","56","2","2","1","648","648","576"
"JavaVersion","4","2","2","4","3","0","0","0","0","0","4","2","2","4","3","394","411","394","1","1","1","101","101","95"
"text/StrSubstitutor","5","3","3","5","2","5","3","3","5","2","0","0","0","0","0","86","336","315","3","3","2","210","210","165"
"StringUtils","65","29","29","65","8","58","24","24","58","8","7","5","5","7","2","6","442","151","7","7","3","2060","2060","594"
"event/EventSupport","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","225","248","225","2","2","1","106","106","53"
"text/StrLookup","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","13","75","13","1","1","1","28","28","19"
"RandomStringUtils","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","141","145","141","1","1","1","3","3","2"
"SerializationException","2","1","1","2","2","2","1","1","2","2","0","0","0","0","0","142","142","142","2","2","2","3","3","3"
"mutable/MutableByte","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","125","125","125","1","1","1","1","1","1"
"exception/ExceptionUtils","10","3","3","10","8","10","3","3","10","8","0","0","0","0","0","39","92","39","1","1","1","358","358","355"
"mutable/MutableBoolean","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","125","125","125","1","1","1","3","3","3"
"event/ReflectiveEventSupport","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","225","246","225","2","2","1","296","296","148"
"ArrayUtils","18","12","12","18","3","18","12","12","18","3","0","0","0","0","0","17","298","25","6","6","1","858","858","482"
"exception/DefaultExceptionContext","3","3","3","3","1","2","2","2","2","1","1","1","1","1","1","103","402","103","2","2","1","43","43","30"
