"Component","NumberOfChanges","NumberConsecutiveChanges","NumberCodeBursts","TotalBurstSize","MaximumCodeBurst","NumberOfChangesEarly","NumberOfConsecutiveChangesEarly","NumberCodeBurstsEarly","TotalBurstSizeEarly","MaximumCodeBurstEarly","NumberOfChangesLate","NumberConsecutiveChangesLate","NumberCodeBurstsLate","TotalBurstSizeLate","MaximumCodeBurstLate","TimeFirstBurst","TimeLastBurst","TimeMaxBurst","PeopleTotal","TotalPeopleInBurst","MaxPeopleInBurst","ChurnTotal","TotalChurnInBurst","MaxChurnInBurst"
"text/translate/NumericEntityEscaper","3","3","3","3","1","2","2","2","2","1","1","1","1","1","1","212","427","212","2","2","1","37","37","35"
"concurrent/ConcurrentInitializer","2","1","1","2","2","2","1","1","2","2","0","0","0","0","0","185","185","185","2","2","2","56","56","56"
"builder/EqualsBuilder","7","6","6","7","2","7","6","6","7","2","0","0","0","0","0","5","273","172","4","4","1","204","204","183"
"Validate","11","7","7","11","5","11","7","7","11","5","0","0","0","0","0","3","296","137","5","5","2","430","430","135"
"builder/Builder","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","173","261","173","2","2","1","90","90","89"
"math/Fraction","3","2","2","3","2","0","0","0","0","0","3","2","2","3","2","370","386","386","2","2","1","20","20","15"
"text/translate/LookupTranslator","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","261","406","261","2","2","1","2","2","1"
"text/FormatFactory","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","94","94","94","1","1","1","1","1","1"
"concurrent/BasicThreadFactory","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","127","261","127","2","2","1","387","387","379"
"ObjectUtils","14","9","9","14","5","7","6","6","7","2","7","3","3","7","5","120","433","371","5","5","3","251","251","112"
"reflect/ConstructorUtils","7","4","4","7","4","7","4","4","7","4","0","0","0","0","0","99","294","294","5","5","3","298","298","196"
"AnnotationUtils","10","8","8","10","3","7","5","5","7","3","3","3","3","3","1","320","441","329","3","3","1","424","424","242"
"builder/ToStringBuilder","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","173","173","173","1","1","1","15","15","15"
"CharSet","4","3","3","4","2","4","3","3","4","2","0","0","0","0","0","61","328","142","1","1","1","10","10","5"
"reflect/MethodUtils","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","94","175","94","2","2","1","147","147","142"
"WordUtils","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","37","56","37","2","2","1","647","647","573"
"text/translate/UnicodeEscaper","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","261","427","261","2","2","1","36","36","35"
"time/DateUtils","13","12","12","13","2","11","10","10","11","2","2","2","2","2","1","21","430","87","5","5","1","186","186","75"
"text/StrTokenizer","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","119","119","119","1","1","1","5","5","5"
"concurrent/TimedSemaphore","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","57","57","57","1","1","1","420","420","420"
"reflect/FieldUtils","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","125","204","125","2","2","1","4","4","2"
"text/translate/CharSequenceTranslator","5","3","3","5","3","2","2","2","2","1","3","1","1","3","3","261","423","423","3","3","1","9","9","6"
"concurrent/AtomicSafeInitializer","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","341","341","341","1","1","1","94","94","94"
"text/translate/CodePointTranslator","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","261","261","261","1","1","1","1","1","1"
"mutable/MutableDouble","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","125","125","125","1","1","1","1","1","1"
"reflect/MemberUtils","3","3","3","3","1","2","2","2","2","1","1","1","1","1","1","98","363","98","2","2","1","99","99","91"
"text/translate/UnicodeUnescaper","7","3","3","7","5","2","2","2","2","1","5","1","1","5","5","261","407","407","3","3","1","35","35","31"
"concurrent/ConstantInitializer","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","345","345","345","1","1","1","128","128","128"
"concurrent/MultiBackgroundInitializer","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","306","306","306","1","1","1","10","10","10"
"concurrent/ConcurrentRuntimeException","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","174","174","174","1","1","1","72","72","72"
"mutable/MutableInt","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","125","125","125","1","1","1","1","1","1"
"concurrent/BackgroundInitializer","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","185","185","185","1","1","1","3","3","3"
"LocaleUtils","1","1","1","1","1","0","0","0","0","0","1","1","1","1","1","400","400","400","1","1","1","6","6","6"
"exception/ExceptionContext","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","163","163","163","1","1","1","19","19","19"
"text/translate/OctalUnescaper","1","1","1","1","1","0","0","0","0","0","1","1","1","1","1","388","388","388","1","1","1","61","61","61"
"CharRange","7","5","5","7","3","7","5","5","7","3","0","0","0","0","0","84","142","142","3","3","2","134","134","95"
"StringEscapeUtils","7","7","7","7","1","3","3","3","3","1","4","4","4","4","1","85","428","85","2","2","1","41","41","22"
"SerializationUtils","4","3","3","4","2","4","3","3","4","2","0","0","0","0","0","141","309","309","2","2","1","18","18","15"
"ClassUtils","7","6","6","7","2","6","5","5","6","2","1","1","1","1","1","84","394","95","3","3","1","89","89","53"
"builder/CompareToBuilder","5","5","5","5","1","5","5","5","5","1","0","0","0","0","0","29","229","29","2","2","1","34","34","15"
"BooleanUtils","8","7","7","8","2","7","6","6","7","2","1","1","1","1","1","141","435","234","2","2","1","187","187","140"
"CharUtils","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","141","145","141","1","1","1","3","3","2"
"Pair","6","5","5","6","2","6","5","5","6","2","0","0","0","0","0","128","274","141","3","3","2","105","105","94"
"exception/ContextedException","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","105","163","105","2","2","1","24","24","22"
"SystemUtils","7","5","5","7","2","5","4","4","5","2","2","1","1","2","2","141","394","207","2","2","1","2117","2117","1763"
"concurrent/LazyInitializer","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","185","185","185","1","1","1","9","9","9"
"event/EventUtils","7","4","4","7","4","7","4","4","7","4","0","0","0","0","0","239","344","239","3","3","2","349","349","329"
"text/ExtendedMessageFormat","4","2","2","4","3","1","1","1","1","1","3","1","1","3","3","94","376","376","2","2","2","66","66","65"
"builder/ToStringStyle","4","1","1","4","4","4","1","1","4","4","0","0","0","0","0","107","107","107","1","1","1","235","235","235"
"builder/ReflectionToStringBuilder","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","344","344","344","1","1","1","1","1","1"
"mutable/MutableLong","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","125","125","125","1","1","1","1","1","1"
"CharSequenceUtils","9","6","6","9","4","9","6","6","9","4","0","0","0","0","0","152","307","157","4","4","1","440","440","148"
"exception/CloneFailedException","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","120","120","120","1","1","1","63","63","63"
"mutable/MutableFloat","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","125","125","125","1","1","1","1","1","1"
"math/NumberUtils","4","4","4","4","1","3","3","3","3","1","1","1","1","1","1","34","369","34","2","2","1","23","23","10"
"reflect/TypeUtils","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","170","271","170","3","3","1","1114","1114","1073"
"text/translate/EntityArrays","4","2","2","4","3","4","2","2","4","3","0","0","0","0","0","261","353","353","2","2","1","59","59","58"
"EnumUtils","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","84","261","84","3","3","1","10","10","6"
"builder/IDKey","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","121","121","121","1","1","1","4","4","4"
"concurrent/AtomicInitializer","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","185","185","185","1","1","1","106","106","106"
"mutable/MutableObject","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","224","293","224","2","2","1","50","50","29"
"exception/ContextedRuntimeException","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","105","163","105","2","2","1","27","27","23"
"CharSetUtils","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","141","145","141","1","1","1","3","3","2"
