"Component","NumberOfChanges","NumberConsecutiveChanges","NumberCodeBursts","TotalBurstSize","MaximumCodeBurst","NumberOfChangesEarly","NumberOfConsecutiveChangesEarly","NumberCodeBurstsEarly","TotalBurstSizeEarly","MaximumCodeBurstEarly","NumberOfChangesLate","NumberConsecutiveChangesLate","NumberCodeBurstsLate","TotalBurstSizeLate","MaximumCodeBurstLate","TimeFirstBurst","TimeLastBurst","TimeMaxBurst","PeopleTotal","TotalPeopleInBurst","MaxPeopleInBurst","ChurnTotal","TotalChurnInBurst","MaxChurnInBurst"
"IncompleteArgumentException","5","3","3","5","2","5","3","3","5","2","0","0","0","0","0","90","147","119","2","2","2","197","197","178"
"LocaleUtils","7","5","5","7","2","7","5","5","7","2","0","0","0","0","0","30","281","121","3","3","2","601","601","582"
"CharRange","6","4","4","6","2","6","4","4","6","2","0","0","0","0","0","90","171","119","2","2","2","486","486","466"
"StringEscapeUtils","21","16","16","21","3","14","10","10","14","3","7","6","6","7","2","12","420","50","4","4","2","1790","1790","1378"
"text/DateMetaFormat","4","4","4","4","1","1","1","1","1","1","3","3","3","3","1","335","439","335","2","2","1","120","120","57"
"math/RandomUtils","4","3","3","4","2","4","3","3","4","2","0","0","0","0","0","122","171","147","1","1","1","390","390","360"
"SerializationUtils","5","3","3","5","2","5","3","3","5","2","0","0","0","0","0","119","277","119","3","3","2","405","405","390"
"ClassUtils","16","10","10","16","3","11","6","6","11","3","5","4","4","5","2","17","449","30","6","6","3","1755","1755","1358"
"builder/CompareToBuilder","9","7","7","9","2","9","7","7","9","2","0","0","0","0","0","19","324","119","2","2","2","2247","2247","2094"
"BooleanUtils","8","6","6","8","2","8","6","6","8","2","0","0","0","0","0","119","333","119","3","3","2","1932","1932","1860"
"mutable/Mutable","5","3","3","5","2","4","2","2","4","2","1","1","1","1","1","119","426","119","3","3","2","121","121","108"
"text/DefaultMetaFormatFactory","4","4","4","4","1","2","2","2","2","1","2","2","2","2","1","335","439","335","2","2","1","286","286","139"
"CharUtils","4","2","2","4","2","4","2","2","4","2","0","0","0","0","0","119","147","119","2","2","2","1133","1133","1120"
"enum/Enum","13","9","9","13","2","13","9","9","13","2","0","0","0","0","0","25","324","96","3","3","2","1360","1360","1262"
"exception/NestableError","8","5","5","8","2","8","5","5","8","2","0","0","0","0","0","88","277","88","3","3","2","421","421","396"
"text/NumberMetaFormat","5","5","5","5","1","1","1","1","1","1","4","4","4","4","1","335","439","335","2","2","1","364","364","168"
"text/DateMetaFormatSupport","4","4","4","4","1","1","1","1","1","1","3","3","3","3","1","335","439","335","2","2","1","512","512","240"
"text/CompositeFormat","12","9","9","12","2","10","8","8","10","2","2","1","1","2","2","13","383","13","5","5","1","415","415","210"
"SystemUtils","7","5","5","7","2","6","4","4","6","2","1","1","1","1","1","3","371","3","2","2","1","2746","2746","2700"
"math/Range","4","2","2","4","2","4","2","2","4","2","0","0","0","0","0","119","147","119","2","2","2","875","875","862"
"text/ChoiceMetaFormat","4","4","4","4","1","1","1","1","1","1","3","3","3","3","1","335","439","335","2","2","1","154","154","72"
"text/ExtendedMessageFormat","10","6","6","10","4","2","2","2","2","1","8","4","4","8","4","335","439","439","2","2","1","1233","1233","718"
"text/TimeMetaFormat","4","4","4","4","1","1","1","1","1","1","3","3","3","3","1","335","439","335","2","2","1","162","162","70"
"builder/ToStringStyle","12","8","8","12","2","12","8","8","12","2","0","0","0","0","0","88","351","88","4","4","2","4684","4684","4302"
"builder/ReflectionToStringBuilder","12","10","10","12","2","12","10","10","12","2","0","0","0","0","0","10","324","119","3","3","2","2014","2014","1766"
"mutable/MutableLong","6","5","5","6","2","5","4","4","5","2","1","1","1","1","1","1","426","147","4","4","1","636","636","544"
"mutable/MutableFloat","6","5","5","6","2","5","4","4","5","2","1","1","1","1","1","1","426","147","4","4","1","718","718","626"
"math/NumberUtils","10","7","7","10","2","9","6","6","9","2","1","1","1","1","1","119","399","119","2","2","2","3239","3239","2820"
"text/MetaFormatSupport","4","4","4","4","1","1","1","1","1","1","3","3","3","3","1","335","439","335","2","2","1","296","296","131"
"math/IntRange","7","4","4","7","2","7","4","4","7","2","0","0","0","0","0","90","353","119","2","2","2","800","800","768"
"enums/EnumUtils","4","2","2","4","2","4","2","2","4","2","0","0","0","0","0","119","147","119","2","2","2","261","261","248"
"exception/NestableDelegate","7","4","4","7","2","7","4","4","7","2","0","0","0","0","0","88","277","88","3","3","2","830","830","808"
"NotImplementedException","5","3","3","5","2","5","3","3","5","2","0","0","0","0","0","90","147","119","2","2","2","609","609","590"
"exception/NestableException","8","5","5","8","2","8","5","5","8","2","0","0","0","0","0","88","277","88","3","3","2","543","543","518"
"builder/StandardToStringStyle","6","3","3","6","2","6","3","3","6","2","0","0","0","0","0","88","147","88","2","2","2","1110","1110","1090"
"mutable/MutableObject","5","3","3","5","2","5","3","3","5","2","0","0","0","0","0","90","147","119","2","2","2","247","247","228"
"time/DurationFormatUtils","20","12","12","20","6","20","12","12","20","6","0","0","0","0","0","46","324","181","4","4","2","1643","1643","1286"
"text/NameKeyedMetaFormat","5","4","4","5","2","1","1","1","1","1","4","3","3","4","2","335","439","378","2","2","1","346","346","163"
"CharSetUtils","6","4","4","6","2","6","4","4","6","2","0","0","0","0","0","119","282","119","2","2","2","804","804","782"
"Entities","13","7","7","13","5","13","7","7","13","5","0","0","0","0","0","16","253","253","2","2","2","2906","2906","1878"
"text/VariableFormatter","8","4","4","8","5","8","4","4","8","5","0","0","0","0","0","58","95","64","3","3","2","1267","1267","932"
"text/StrBuilder","18","13","13","18","2","17","12","12","17","2","1","1","1","1","1","6","435","30","5","5","2","5235","5235","4726"
"mutable/MutableShort","6","5","5","6","2","5","4","4","5","2","1","1","1","1","1","1","426","147","4","4","1","654","654","562"
"math/DoubleRange","5","3","3","5","2","5","3","3","5","2","0","0","0","0","0","90","147","119","2","2","2","850","850","832"
"time/FastDateFormat","14","8","8","14","2","14","8","8","14","2","0","0","0","0","0","20","336","20","2","2","2","3561","3561","3468"
"enum/EnumUtils","4","2","2","4","2","4","2","2","4","2","0","0","0","0","0","119","147","119","2","2","2","269","269","256"
"time/StopWatch","8","5","5","8","2","8","5","5","8","2","0","0","0","0","0","119","312","119","2","2","2","815","815","528"
"IntHashMap","5","3","3","5","2","5","3","3","5","2","0","0","0","0","0","119","296","119","3","3","2","745","745","728"
"math/FloatRange","5","3","3","5","2","5","3","3","5","2","0","0","0","0","0","90","147","119","2","2","2","838","838","820"
"time/DateFormatUtils","6","4","4","6","2","5","3","3","5","2","1","1","1","1","1","24","421","119","3","3","2","619","619","524"
"UnhandledException","5","3","3","5","2","5","3","3","5","2","0","0","0","0","0","90","147","119","2","2","2","165","165","146"
"builder/HashCodeBuilder","13","9","9","13","2","13","9","9","13","2","0","0","0","0","0","18","305","47","3","3","2","2651","2651","1408"
"NullArgumentException","5","3","3","5","2","5","3","3","5","2","0","0","0","0","0","90","147","119","2","2","2","147","147","128"
"text/StrSubstitutor","9","5","5","9","3","9","5","5","9","3","0","0","0","0","0","79","147","79","2","2","2","2736","2736","1660"
"StringUtils","39","23","23","39","8","23","16","16","23","5","16","7","7","16","8","0","445","427","8","8","4","11508","11508","9818"
"text/StrLookup","4","3","3","4","2","4","3","3","4","2","0","0","0","0","0","94","147","147","2","2","1","495","495","322"
"RandomStringUtils","6","4","4","6","2","6","4","4","6","2","0","0","0","0","0","49","171","119","2","2","2","705","705","654"
"SerializationException","5","3","3","5","2","5","3","3","5","2","0","0","0","0","0","90","147","119","2","2","2","179","179","160"
"enums/ValuedEnum","7","6","6","7","2","7","6","6","7","2","0","0","0","0","0","89","162","147","3","3","1","528","528","464"
"mutable/MutableByte","6","5","5","6","2","5","4","4","5","2","1","1","1","1","1","1","426","147","4","4","1","654","654","562"
"exception/ExceptionUtils","6","5","5","6","2","6","5","5","6","2","0","0","0","0","0","2","348","147","3","3","1","2112","2112","1990"
"NumberRange","4","2","2","4","2","4","2","2","4","2","0","0","0","0","0","119","147","119","2","2","2","453","453","440"
"mutable/MutableBoolean","8","5","5","8","2","8","5","5","8","2","0","0","0","0","0","90","203","119","3","3","2","371","371","340"
"math/LongRange","7","4","4","7","2","7","4","4","7","2","0","0","0","0","0","90","353","119","2","2","2","826","826","794"
"math/NumberRange","5","3","3","5","2","5","3","3","5","2","0","0","0","0","0","90","147","119","2","2","2","502","502","484"
"ArrayUtils","11","7","7","11","3","9","5","5","9","3","2","2","2","2","1","9","446","57","3","3","2","9549","9549","8834"
