"Component","NumberOfChanges","NumberConsecutiveChanges","NumberCodeBursts","TotalBurstSize","MaximumCodeBurst","NumberOfChangesEarly","NumberOfConsecutiveChangesEarly","NumberCodeBurstsEarly","TotalBurstSizeEarly","MaximumCodeBurstEarly","NumberOfChangesLate","NumberConsecutiveChangesLate","NumberCodeBurstsLate","TotalBurstSizeLate","MaximumCodeBurstLate","TimeFirstBurst","TimeLastBurst","TimeMaxBurst","PeopleTotal","TotalPeopleInBurst","MaxPeopleInBurst","ChurnTotal","TotalChurnInBurst","MaxChurnInBurst"
"IllegalClassException","5","3","3","5","2","5","3","3","5","2","0","0","0","0","0","90","147","119","2","2","2","225","225","206"
"builder/EqualsBuilder","10","8","8","10","2","9","7","7","9","2","1","1","1","1","1","18","411","119","2","2","2","1817","1817","1688"
"Validate","4","2","2","4","2","4","2","2","4","2","0","0","0","0","0","119","147","119","2","2","2","1121","1121","1108"
"NumberUtils","6","4","4","6","2","6","4","4","6","2","0","0","0","0","0","119","187","119","2","2","2","1445","1445","1428"
"math/Fraction","8","6","6","8","2","6","4","4","6","2","2","2","2","2","1","90","386","119","3","3","2","1912","1912","1882"
"text/FormatFactory","2","1","1","2","2","0","0","0","0","0","2","1","1","2","2","439","439","439","1","1","1","28","28","28"
"ObjectUtils","11","7","7","11","3","11","7","7","11","3","0","0","0","0","0","90","350","275","4","4","2","755","755","560"
"enums/Enum","13","11","11","13","2","13","11","11","13","2","0","0","0","0","0","25","324","98","4","4","1","1406","1406","1260"
"exception/NestableRuntimeException","8","5","5","8","2","8","5","5","8","2","0","0","0","0","0","88","277","88","3","3","2","431","431","406"
"math/JVMRandom","6","4","4","6","2","6","4","4","6","2","0","0","0","0","0","88","171","88","2","2","1","377","377","340"
"text/StrMatcher","7","5","5","7","2","6","4","4","6","2","1","1","1","1","1","93","428","119","4","4","2","857","857","812"
"builder/ToStringBuilder","8","5","5","8","3","8","5","5","8","3","0","0","0","0","0","48","226","147","3","3","2","2173","2173","2104"
"CharSet","9","7","7","9","2","8","6","6","8","2","1","1","1","1","1","90","428","119","2","2","2","605","605","568"
"WordUtils","8","6","6","8","2","5","3","3","5","2","3","3","3","3","1","119","428","119","2","2","2","1244","1244","1170"
"exception/Nestable","5","3","3","5","2","5","3","3","5","2","0","0","0","0","0","119","277","119","3","3","2","371","371","356"
"CharEncoding","4","2","2","4","2","4","2","2","4","2","0","0","0","0","0","119","147","119","2","2","2","319","319","306"
"time/DateUtils","15","9","9","15","4","10","7","7","10","2","5","2","2","5","4","7","425","404","3","3","2","2861","2861","1980"
"math/IEEE754rUtils","1","1","1","1","1","0","0","0","0","0","1","1","1","1","1","399","399","399","1","1","1","265","265","265"
"text/StrTokenizer","13","9","9","13","4","13","9","9","13","4","0","0","0","0","0","32","330","74","4","4","1","2451","2451","2248"
"BitField","4","2","2","4","2","4","2","2","4","2","0","0","0","0","0","119","147","119","2","2","2","593","593","580"
"enum/ValuedEnum","7","4","4","7","2","7","4","4","7","2","0","0","0","0","0","90","147","90","3","3","2","419","419","392"
"mutable/MutableDouble","6","5","5","6","2","5","4","4","5","2","1","1","1","1","1","1","426","147","4","4","1","716","716","624"
"text/MultiFormat","3","3","3","3","1","1","1","1","1","1","2","2","2","2","1","334","438","334","1","1","1","358","358","167"
"mutable/MutableInt","5","4","4","5","2","5","4","4","5","2","0","0","0","0","0","1","147","147","3","3","1","636","636","544"
