"Component","NumberOfChanges","NumberConsecutiveChanges","NumberCodeBursts","TotalBurstSize","MaximumCodeBurst","NumberOfChangesEarly","NumberOfConsecutiveChangesEarly","NumberCodeBurstsEarly","TotalBurstSizeEarly","MaximumCodeBurstEarly","NumberOfChangesLate","NumberConsecutiveChangesLate","NumberCodeBurstsLate","TotalBurstSizeLate","MaximumCodeBurstLate","TimeFirstBurst","TimeLastBurst","TimeMaxBurst","PeopleTotal","TotalPeopleInBurst","MaxPeopleInBurst","ChurnTotal","TotalChurnInBurst","MaxChurnInBurst"
"IllegalClassException","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","119","349","119","3","3","1","46","46","39"
"builder/EqualsBuilder","6","5","5","6","2","6","5","5","6","2","0","0","0","0","0","43","202","43","3","3","1","151","151","123"
"Validate","6","5","5","6","2","6","5","5","6","2","0","0","0","0","0","109","262","262","4","4","1","88","88","36"
"NumberUtils","6","4","4","6","3","6","4","4","6","3","0","0","0","0","0","185","272","262","3","3","1","34","34","18"
"math/Fraction","6","5","5","6","2","3","3","3","3","1","3","2","2","3","2","24","445","397","5","5","1","408","408","383"
"ObjectUtils","6","4","4","6","2","6","4","4","6","2","0","0","0","0","0","185","273","200","3","3","1","20","20","10"
"enums/Enum","9","6","6","9","3","9","6","6","9","3","0","0","0","0","0","94","272","263","3","3","1","31","31","9"
"exception/NestableRuntimeException","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","173","263","173","3","3","1","42","42","36"
"math/JVMRandom","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","137","200","137","2","2","1","15","15","11"
"text/StrMatcher","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","344","344","344","1","1","1","405","405","405"
"builder/ToStringBuilder","5","3","3","5","3","5","3","3","5","3","0","0","0","0","0","2","202","2","2","2","1","39","39","35"
"CharSet","3","2","2","3","2","3","2","2","3","2","0","0","0","0","0","185","200","200","2","2","1","6","6","4"
"WordUtils","10","7","7","10","3","9","6","6","9","3","1","1","1","1","1","60","402","200","6","6","2","240","240","154"
"text/MappedMessageFormat","10","8","8","10","2","10","8","8","10","2","0","0","0","0","0","62","293","62","2","2","1","356","356","167"
"exception/Nestable","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","114","202","114","3","3","1","36","36","32"
"CharEncoding","5","4","4","5","2","5","4","4","5","2","0","0","0","0","0","100","224","100","4","4","2","248","248","196"
"time/DateUtils","23","15","15","23","5","23","15","15","23","5","0","0","0","0","0","0","273","74","4","4","3","447","447","122"
"text/StrTokenizer","30","18","18","30","7","23","15","15","23","4","7","4","4","7","4","102","399","356","5","5","2","2579","2579","1205"
"BitField","4","3","3","4","2","4","3","3","4","2","0","0","0","0","0","36","200","200","3","3","1","44","44","38"
"enum/ValuedEnum","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","94","202","94","2","2","1","9","9","5"
"mutable/MutableDouble","5","5","5","5","1","4","4","4","4","1","1","1","1","1","1","18","388","18","3","3","1","268","268","146"
"text/VariableFormat","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","271","278","271","1","1","1","1036","1036","518"
"mutable/MutableInt","8","6","6","8","2","7","5","5","7","2","1","1","1","1","1","15","388","15","3","3","1","262","262","158"
"IncompleteArgumentException","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","119","349","119","3","3","1","31","31","24"
"LocaleUtils","6","4","4","6","2","1","1","1","1","1","5","3","3","5","2","351","412","361","2","2","1","385","385","193"
"CharRange","3","2","2","3","2","3","2","2","3","2","0","0","0","0","0","185","200","200","2","2","1","16","16","14"
"StringEscapeUtils","10","8","8","10","3","10","8","8","10","3","0","0","0","0","0","68","354","261","5","5","1","166","166","124"
"math/RandomUtils","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","185","185","185","1","1","1","2","2","2"
"SerializationUtils","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","185","272","185","3","3","1","12","12","4"
"ClassUtils","16","12","12","16","2","13","10","10","13","2","3","2","2","3","2","3","428","167","5","5","2","1731","1731","700"
"builder/CompareToBuilder","5","5","5","5","1","5","5","5","5","1","0","0","0","0","0","7","290","7","4","4","1","12","12","4"
"BooleanUtils","6","4","4","6","2","6","4","4","6","2","0","0","0","0","0","107","262","200","4","4","1","85","85","42"
"mutable/Mutable","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","14","202","14","3","3","1","62","62","31"
"CharUtils","8","5","5","8","2","8","5","5","8","2","0","0","0","0","0","69","328","200","4","4","1","57","57","30"
"enum/Enum","8","6","6","8","2","8","6","6","8","2","0","0","0","0","0","94","274","200","3","3","1","32","32","8"
"exception/NestableError","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","172","263","172","3","3","1","42","42","36"
"SystemUtils","11","8","8","11","2","10","7","7","10","2","1","1","1","1","1","53","379","53","4","4","2","115","115","68"
"math/Range","3","2","2","3","2","3","2","2","3","2","0","0","0","0","0","185","200","200","2","2","1","12","12","10"
"builder/ToStringStyle","9","6","6","9","3","9","6","6","9","3","0","0","0","0","0","2","202","2","3","3","1","136","136","87"
"builder/ReflectionToStringBuilder","9","8","8","9","2","7","6","6","7","2","2","2","2","2","1","4","409","4","3","3","1","406","406","365"
"Tokenizer","5","3","3","5","3","5","3","3","5","3","0","0","0","0","0","47","102","47","1","1","1","1271","1271","1073"
"mutable/MutableLong","7","6","6","7","2","6","5","5","6","2","1","1","1","1","1","18","388","200","3","3","1","228","228","126"
"mutable/MutableFloat","7","6","6","7","2","6","5","5","6","2","1","1","1","1","1","18","388","106","3","3","2","304","304","142"
"math/NumberUtils","6","5","5","6","2","6","5","5","6","2","0","0","0","0","0","104","274","263","4","4","1","36","36","18"
"math/IntRange","3","2","2","3","2","3","2","2","3","2","0","0","0","0","0","185","200","200","2","2","1","8","8","6"
"enums/EnumUtils","4","3","3","4","2","4","3","3","4","2","0","0","0","0","0","185","263","263","3","3","1","7","7","3"
"exception/NestableDelegate","7","5","5","7","2","7","5","5","7","2","0","0","0","0","0","87","323","87","4","4","1","143","143","74"
"NotImplementedException","6","6","6","6","1","5","5","5","5","1","1","1","1","1","1","119","381","119","3","3","1","58","58","25"
"exception/NestableException","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","35","263","35","3","3","1","48","48","36"
"StringPrintWriter","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","202","354","202","2","2","1","71","71","69"
"builder/StandardToStringStyle","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","185","202","185","2","2","1","4","4","2"
"mutable/MutableObject","8","6","6","8","2","8","6","6","8","2","0","0","0","0","0","19","200","106","3","3","2","163","163","106"
"time/DurationFormatUtils","19","13","13","19","6","16","10","10","16","6","3","3","3","3","1","33","444","79","3","3","1","1298","1298","521"
"CharSetUtils","4","3","3","4","2","4","3","3","4","2","0","0","0","0","0","169","262","262","3","3","1","16","16","11"
"Entities","8","8","8","8","1","8","8","8","8","1","0","0","0","0","0","58","283","58","4","4","1","306","306","259"
"Interpolation","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","10","64","10","3","3","1","560","560","207"
"text/VariableFormatter","12","7","7","12","3","11","6","6","11","3","1","1","1","1","1","278","404","278","2","2","2","2145","2145","855"
"text/StrBuilder","36","13","13","36","8","32","11","11","32","8","4","2","2","4","3","123","442","329","4","4","2","3091","3091","1446"
"mutable/MutableShort","7","6","6","7","2","6","5","5","6","2","1","1","1","1","1","18","388","200","3","3","1","241","241","126"
"math/DoubleRange","3","2","2","3","2","3","2","2","3","2","0","0","0","0","0","185","200","200","2","2","1","6","6","4"
"CharacterEncoding","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","34","100","34","2","2","1","304","304","150"
"time/FastDateFormat","8","8","8","8","1","8","8","8","8","1","0","0","0","0","0","16","273","16","5","5","1","293","293","227"
"enum/EnumUtils","5","5","5","5","1","5","5","5","5","1","0","0","0","0","0","94","275","94","3","3","1","12","12","5"
"time/StopWatch","9","8","8","9","2","9","8","8","9","2","0","0","0","0","0","29","273","200","5","5","1","158","158","116"
"IntHashMap","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","171","202","171","3","3","1","5","5","2"
"math/FloatRange","3","2","2","3","2","3","2","2","3","2","0","0","0","0","0","185","200","200","2","2","1","6","6","4"
"text/Interpolation","8","8","8","8","1","8","8","8","8","1","0","0","0","0","0","64","293","64","3","3","1","376","376","183"
"time/DateFormatUtils","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","185","273","185","3","3","1","7","7","2"
"UnhandledException","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","119","349","119","3","3","1","29","29","22"
"builder/HashCodeBuilder","5","5","5","5","1","5","5","5","5","1","0","0","0","0","0","37","202","37","3","3","1","23","23","10"
"NullArgumentException","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","119","349","119","3","3","1","42","42","25"
"StringUtils","22","17","17","22","4","16","12","12","16","4","6","5","5","6","2","20","446","196","7","7","2","639","639","247"
"RandomStringUtils","5","4","4","5","2","4","3","3","4","2","1","1","1","1","1","185","401","262","4","4","1","16","16","9"
"SerializationException","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","185","349","185","3","3","1","7","7","3"
"enums/ValuedEnum","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","89","202","89","3","3","1","17","17","8"
