"Component","NumberOfChanges","NumberConsecutiveChanges","NumberCodeBursts","TotalBurstSize","MaximumCodeBurst","NumberOfChangesEarly","NumberOfConsecutiveChangesEarly","NumberCodeBurstsEarly","TotalBurstSizeEarly","MaximumCodeBurstEarly","NumberOfChangesLate","NumberConsecutiveChangesLate","NumberCodeBurstsLate","TotalBurstSizeLate","MaximumCodeBurstLate","TimeFirstBurst","TimeLastBurst","TimeMaxBurst","PeopleTotal","TotalPeopleInBurst","MaxPeopleInBurst","ChurnTotal","TotalChurnInBurst","MaxChurnInBurst"
"text/translate/EscapeNonAsciiAsNumericEntity","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","231","242","231","1","1","1","88","88","44"
"builder/ToStringStyle","8","8","8","8","1","6","6","6","6","1","2","2","2","2","1","123","447","123","3","3","1","65","65","22"
"builder/ReflectionToStringBuilder","9","8","8","9","2","6","5","5","6","2","3","3","3","3","1","123","447","211","3","3","1","186","186","69"
"mutable/MutableLong","9","8","8","9","2","5","5","5","5","1","4","3","3","4","2","124","447","379","3","3","1","117","117","76"
"mutable/MutableFloat","11","7","7","11","4","6","5","5","6","2","5","2","2","5","4","124","447","379","3","3","1","156","156","113"
"math/NumberUtils","8","7","7","8","2","6","5","5","6","2","2","2","2","2","1","120","447","178","3","3","2","282","282","125"
"text/translate/EscapeNonAsciiAsUnicode","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","231","244","231","1","1","1","88","88","44"
"reflect/TypeUtils","2","2","2","2","1","0","0","0","0","0","2","2","2","2","1","407","447","407","2","2","1","129","129","125"
"math/IntRange","5","5","5","5","1","3","3","3","3","1","2","2","2","2","1","124","406","124","3","3","1","450","450","417"
"enums/EnumUtils","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","108","108","108","1","1","1","124","124","124"
"text/translate/EntityArrays","6","6","6","6","1","4","4","4","4","1","2","2","2","2","1","231","447","231","2","2","1","405","405","357"
"exception/NestableDelegate","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","139","165","139","2","2","1","406","406","404"
"EnumUtils","9","7","7","9","2","5","4","4","5","2","4","3","3","4","2","107","447","259","3","3","1","156","156","81"
"builder/IDKey","5","4","4","5","2","3","2","2","3","2","2","2","2","2","1","116","447","116","3","3","1","93","93","74"
"NotImplementedException","4","4","4","4","1","4","4","4","4","1","0","0","0","0","0","123","276","123","2","2","1","317","317","197"
"exception/NestableException","3","3","3","3","1","3","3","3","3","1","0","0","0","0","0","124","165","124","2","2","1","276","276","266"
"builder/StandardToStringStyle","4","4","4","4","1","2","2","2","2","1","2","2","2","2","1","123","447","123","3","3","1","70","70","42"
